algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status,marginal95_low,marginal95_high,marginal_one_sided_lower95,q_primary_absolute,q_standardized,standardized_joint95_low,standardized_joint95_high,critical_primary_positive_direction,critical_standardized_positive_direction,critical_marginal_two_sided_normal,mdd80_primary_positive_direction_normal,mdd80_standardized_positive_direction_normal,mdd80_marginal_two_sided_positive_direction_normal,mdd80_primary_positive_direction_bootstrap_shift,mdd80_standardized_positive_direction_bootstrap_shift,mdd80_marginal_two_sided_positive_direction_bootstrap_shift,precision_status
ridge,True,D,인구통계 정보,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0415753020137475,-0.0576487435975343,-0.0264664208952773,-0.064310822553198,-0.0188397814742971,negative,0.0080030804383974,0.0227355205394504,56,2000,0.0176071944408208,-0.0591824964545684,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.05668418313221783,-0.02550186042996083,-0.054416318771517376,0.022735520539450417,3.2266291057245713,-0.06739827429173573,-0.015752329735759466,0.022735520539450417,0.02582297227798813,0.015685749424636,0.029471082970397727,0.03255853470893543,0.02242131185558331,0.029166238696124856,0.03225369043466257,0.021539599275144677,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,B,소비서비스 생활 개선 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0031747703784764,-0.000793234966639,0.0071078883308112,-0.0195607501609739,0.0259102909179268,not_resolved,0.0020016838971725,0.0227355205394504,56,2000,0.0029248912157428,0.0002498791627336,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0007583475738583024,0.007142775723591992,-0.0002388789381306878,0.022735520539450417,3.2266291057245713,-0.0032839211446008014,0.009633461901553748,0.022735520539450417,0.006458691523077274,0.003923228346892057,0.02442018021021185,0.008143351193838709,0.005607888017653492,0.024387724078196664,0.008110895061823522,0.005585321491081024,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.00250137758313,-0.0033955624488422,-0.0016563915339146,-0.0252368981225805,0.0202341429563203,not_resolved,0.0004434809556483,0.0227355205394504,56,2000,3.79418105763098e-05,-0.0025393193937064,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0033463636323455307,-0.0016071927174179258,-0.0032149746898017272,0.022735520539450417,3.2266291057245713,-0.003932326142459635,-0.0010704290238005632,0.022735520539450417,0.001430948559329536,0.0008692067009001845,0.023108763528409283,0.001804191548288401,0.0012424496898590495,0.02310079954965635,0.0017962275695354688,0.0012102650594213644,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,P,추천서비스 제공자 책무 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0016256236238017,-0.0035633346086542,0.0003138469025489,-0.0243611441632521,0.0211098969156486,not_resolved,0.0009795623375707,0.0227355205394504,56,2000,0.0001255383790875,-0.0017511620028892,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.003565094150152459,0.00031208736105076433,-0.0032745905300433104,0.022735520539450417,3.2266291057245713,-0.004786307973079109,0.001535060725475648,0.022735520539450417,0.0031606843492773783,0.0019199069022505359,0.023559941002358278,0.00398510481218524,0.0027443273651583974,0.023492116082172623,0.003917279891999584,0.0026960660690729344,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,C,개인정보 수집 동의 반응,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,4.580384431554271e-05,-0.0008432563136933,0.000887666478869,-0.0226897166951348,0.0227813243837659,not_resolved,0.0004390447969088,0.0227355205394504,56,2000,-0.0009338527840025,0.000979656628318,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.000796058790237981,0.0009348640023244204,-0.0006686248463597997,0.022735520539450417,3.2266291057245713,-0.0013708308761075406,0.001462438564738626,0.022735520539450417,0.0014166347204230833,0.0008605119895410817,0.023105029963018626,0.0017861441439912934,0.001230021413109292,0.02309532032399125,0.0017764345049639146,0.001201662419094355,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,A,생성형 AI 이용 경험,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0158562155376235,-0.0220336671673247,-0.0101946665398603,-0.0385917360770739,0.0068793050018268,not_resolved,0.0030641744383452,0.0227355205394504,56,2000,0.0019615370498411,-0.0178177525874646,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.021517764535386757,-0.009678763907922376,-0.020651883800052395,0.022735520539450417,3.2266291057245713,-0.025743169965405606,-0.005969261109841464,0.022735520539450417,0.009886954427782072,0.006005671541504967,0.025314394810133152,0.012465828698464805,0.008584545812187701,0.025478592409207,0.012630026297538652,0.008404620867519804,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,True,K,공통 디지털 역량 11문항,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0193573364818618,0.0126468515179376,0.0260015978253775,-0.0033781840575885,0.0420928570213122,not_resolved,0.0034238357964308,0.0227355205394504,56,2000,0.0096358842107768,0.009721452271085,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.01271307513834616,0.026067821445786066,0.013747461291455189,0.022735520539450417,3.2266291057245713,0.008309888247876531,0.030404784715847184,0.022735520539450417,0.011047448233985327,0.006710594849983404,0.025617093445993618,0.013929021140528528,0.009592167756526606,0.02545710270667232,0.01376903040120723,0.009365843510737602,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,False,D,인구통계 정보,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0326152735917271,-0.0469984270031825,-0.0180120851490526,-0.0553507941311775,-0.0098797530522766,negative,0.0076080973437799,0.0227355205394504,56,2000,0.0175851985447428,-0.0502004721364699,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.047218462034401554,-0.018232120180271816,-0.04509636760642162,0.022735520539450417,3.2266291057245713,-0.0571637819203532,-0.00806676526310101,0.022735520539450417,0.024548508328626095,0.014911596784683496,0.029138656811065287,0.03095164460024096,0.021314733056298368,0.029111755285759072,0.03092474307493475,0.0209794231889831,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,False,B,소비서비스 생활 개선 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,0.0064166630409121,0.0012381359000342,0.0117279661568918,-0.0163188574985382,0.0291521835803625,not_resolved,0.0027032271555943,0.0227355205394504,56,2000,0.0052945047892244,0.0011221582516877,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.0011053599249324407,0.011595190181790019,0.0017306204508506472,0.022735520539450417,3.2266291057245713,-0.0023056483787137266,0.015138974460537982,0.022735520539450417,0.008722311419625855,0.005298227866995628,0.025010613912769555,0.010997404792944991,0.0075733212403147655,0.025028257204792157,0.011015048084967593,0.007604039781321426,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,False,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,0.0008373494682331,0.000576561952128,0.0011086023726296,-0.0218981710712172,0.0235728700076836,not_resolved,0.0001367245931107,0.0227355205394504,56,2000,-0.0001595074035241,0.0009968568717573,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,0.0005660965638367168,0.0010981369843383036,0.0006115266642781826,0.022735520539450417,3.2266291057245713,0.00039618991663358915,0.0012785090198328061,0.022735520539450417,0.00044115955159960843,0.000267975278298032,0.022850590860164072,0.0005562298723132621,0.00038304559901168573,0.02284674761209216,0.0005523866242413502,0.0003824799770382226,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
ridge,False,P,추천서비스 제공자 책무 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.0023987894818343,-0.0043898639661151,-0.0004447415703687,-0.0251343100212847,0.020336731057616,not_resolved,0.000983206497973,0.0227355205394504,56,2000,0.0002054202773029,-0.0026042097591372,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded,-0.0043528373932999595,-0.00040771499755352285,-0.004061937348883101,0.022735520539450417,3.2266291057245713,-0.005571232185131863,0.0007736532214631586,0.022735520539450417,0.0031724427032975107,0.0019270493253930173,0.023563008005131437,0.0039999301689785305,0.0027545367910740376,0.023509505641403156,0.00394642780525025,0.0027280330134183467,post hoc fixed-model local shift; positive direction crossing lower bound of two-sided family; not two-sided overall power
