domain,row_condition,column_condition,individual_loss_difference_correlation
whole,ridge|H0,ridge|H0,0.9999999999999999
whole,ridge|H0,ridge|H1,0.9691927016427259
whole,ridge|H0,hgb|H0,0.909438550606133
whole,ridge|H0,hgb|H1,0.7922647913424962
whole,ridge|H1,ridge|H0,0.9691927016427259
whole,ridge|H1,ridge|H1,1.0
whole,ridge|H1,hgb|H0,0.8962647182371197
whole,ridge|H1,hgb|H1,0.8293731392829086
whole,hgb|H0,ridge|H0,0.909438550606133
whole,hgb|H0,ridge|H1,0.8962647182371197
whole,hgb|H0,hgb|H0,1.0
whole,hgb|H0,hgb|H1,0.8461229270635477
whole,hgb|H1,ridge|H0,0.7922647913424962
whole,hgb|H1,ridge|H1,0.8293731392829086
whole,hgb|H1,hgb|H0,0.8461229270635477
whole,hgb|H1,hgb|H1,1.0
disjoint,ridge|H0,ridge|H0,1.0
disjoint,ridge|H0,ridge|H1,0.9684396305795909
disjoint,ridge|H0,hgb|H0,0.9048640000083503
disjoint,ridge|H0,hgb|H1,0.7875369800786475
disjoint,ridge|H1,ridge|H0,0.968439630579591
disjoint,ridge|H1,ridge|H1,1.0
disjoint,ridge|H1,hgb|H0,0.8938445633195582
disjoint,ridge|H1,hgb|H1,0.8270491370599741
disjoint,hgb|H0,ridge|H0,0.9048640000083503
disjoint,hgb|H0,ridge|H1,0.8938445633195581
disjoint,hgb|H0,hgb|H0,1.0
disjoint,hgb|H0,hgb|H1,0.8462429064968993
disjoint,hgb|H1,ridge|H0,0.7875369800786476
disjoint,hgb|H1,ridge|H1,0.8270491370599741
disjoint,hgb|H1,hgb|H0,0.8462429064968991
disjoint,hgb|H1,hgb|H1,0.9999999999999999
