policy_id,algorithm,availability,budget,history_available,selected_subset,source_model,chosen_model,chosen_subset,chosen_config,uses_history,selected_additional_items,selected_items,development_oof_log_loss,selected_config_json,blocks_json,domain,n,reference_label,reference_model,self_contrast,family_unique_nonself_contrasts,q_primary_absolute,q_standardized,inference_status,delta_log_loss,benefit_log_loss,bootstrap_se,marginal_delta95_low,marginal_delta95_high,marginal_delta_upper95,marginal_benefit95_low,marginal_benefit95_high,marginal_benefit_lower95,primary_delta_upper95,standardized_delta_upper95,primary_benchmark_or_full_superiority,standardized_benchmark_or_full_superiority,marginal_superiority_unadjusted,critical_primary,critical_standardized,critical_marginal_normal,critical_marginal_bootstrap,mdd80_primary_normal,mdd80_standardized_normal,mdd80_marginal_normal,mdd80_primary_bootstrap_shift,mdd80_standardized_bootstrap_shift,mdd80_marginal_bootstrap_shift
ridge|history_unavailable|budget=00,ridge,history_unavailable,0,False,NONE,ridge::NONE,ridge::NONE,NONE,0.001,False,0,0,0.6853643289188563,0.001,[],whole,1520,full,ridge::D_B_M_P_C_A_K,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.02346741632869842,0.02346741632869842,0.011054424953440644,-0.04540056243236066,-0.0008883572144382963,-0.00496595738796541,0.0008883572144382963,0.04540056243236066,0.00496595738796541,-0.0003423611843739842,0.005349342753993961,True,False,True,0.023125055144324436,0.02881675908269238,0.018182910978529702,0.01850145894073301,0.032428693910078354,0.0381203978484463,0.02748654974428362,0.032425180272813714,0.03811688421118166,0.027801584069222292
ridge|history_unavailable|budget=00,ridge,history_unavailable,0,False,NONE,ridge::NONE,ridge::NONE,NONE,0.001,False,0,0,0.6853643289188563,0.001,[],whole,1520,benchmark,ridge::NONE,True,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,False,False,False,,,,,,,,,,
ridge|history_unavailable|budget=01,ridge,history_unavailable,1,False,B,ridge::B,ridge::B,B,0.1,False,1,1,0.6777381954029948,0.1,"[""B""]",whole,1520,full,ridge::D_B_M_P_C_A_K,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.0316711721471814,0.0316711721471814,0.010174815228550975,-0.0516202703661688,-0.01117373655316304,-0.014138607947515446,0.01117373655316304,0.0516202703661688,0.014138607947515446,-0.008546117002856967,-0.0051473863883569095,True,True,True,0.023125055144324436,0.026523785758824494,0.016736081732243144,0.017532564199665958,0.03168839568835398,0.03508712630285404,0.025299422276272687,0.031684220199705446,0.03508295081420551,0.02609172925504697
ridge|history_unavailable|budget=01,ridge,history_unavailable,1,False,B,ridge::B,ridge::B,B,0.1,False,1,1,0.6777381954029948,0.1,"[""B""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.008203755818482983,0.008203755818482983,0.0032422692333455025,-0.014507855303751788,-0.0019165049046215663,-0.0027931336811956144,0.0019165049046215663,0.014507855303751788,0.0027931336811956144,0.014921299325841453,0.0002482162897054982,False,False,True,0.023125055144324436,0.008451972108188481,0.005333058308021519,0.0054106221372873685,0.025853817776068187,0.01118073473993223,0.008061820939765266,0.025936893591953593,0.011263810555817638,0.008222460584916524
ridge|history_unavailable|budget=02,ridge,history_unavailable,2,False,B_A,ridge::B_A,ridge::B_A,B_A,0.1,False,2,2,0.6736656514353723,0.1,"[""B"", ""A""]",whole,1520,full,ridge::D_B_M_P_C_A_K,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.01946810853291736,0.01946810853291736,0.008602885534543586,-0.03594173455835434,-0.0023476690831317863,-0.005177388026229841,0.0023476690831317863,0.03594173455835434,0.005177388026229841,0.0036569466114070755,0.0029579589386214133,False,False,True,0.023125055144324436,0.022426067471538774,0.014150487473742372,0.01429072050668752,0.030365426280193588,0.02966643860740793,0.021390858609611523,0.030189419418631094,0.02949043174584543,0.021355084780994175
ridge|history_unavailable|budget=02,ridge,history_unavailable,2,False,B_A,ridge::B_A,ridge::B_A,B_A,0.1,False,2,2,0.6736656514353723,0.1,"[""B"", ""A""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.00399930779578106,-0.00399930779578106,0.005414805425124162,-0.006388038131416493,0.014640638001473194,0.013340307733172857,-0.014640638001473194,0.006388038131416493,-0.013340307733172857,0.027124362940105496,0.018114663779711528,False,False,False,0.023125055144324436,0.014115355983930468,0.008906562342751986,0.009340999937391797,0.027682270365774742,0.018672571205380774,0.013463777564202292,0.027512543205661145,0.018502844045267176,0.013728487998728507
ridge|history_unavailable|budget=03,ridge,history_unavailable,3,False,B_C_A,ridge::B_C_A,ridge::B_C_A,B_C_A,0.1,False,3,3,0.6735209745197117,0.1,"[""B"", ""C"", ""A""]",whole,1520,full,ridge::D_B_M_P_C_A_K,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",-0.01969787210042584,0.01969787210042584,0.008511371672728234,-0.03597088895661003,-0.0029909504009335043,-0.005385110832192076,0.0029909504009335043,0.03597088895661003,0.005385110832192076,0.003427183043898597,0.0024896363397958893,False,False,True,0.023125055144324436,0.02218750844022173,0.013999960566219055,0.014312761268233764,0.03028840627092353,0.029350859566820826,0.02116331169281815,0.029984873760497258,0.029047327056394547,0.021172579884406583
ridge|history_unavailable|budget=03,ridge,history_unavailable,3,False,B_C_A,ridge::B_C_A,ridge::B_C_A,B_C_A,0.1,False,3,3,0.6735209745197117,0.1,"[""B"", ""C"", ""A""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.003769544228272581,-0.003769544228272581,0.005590785564260851,-0.0070207497443404675,0.014866944254184118,0.01334284514979483,-0.014866944254184118,0.0070207497443404675,-0.01334284514979483,0.026894599372597017,0.018343646577952472,False,False,False,0.023125055144324436,0.014574102349679891,0.009196023912882394,0.009573300921522249,0.027830378987559294,0.01927942619291475,0.013901347756117252,0.027669663385423274,0.01911871059077873,0.014117909162621085
ridge|history_unavailable|budget=04,ridge,history_unavailable,4,False,D,ridge::D,ridge::D,D,1.0,False,4,4,0.6621656516928427,1.0,"[""D""]",whole,1520,full,ridge::D_B_M_P_C_A_K,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.0015501640250100701,-0.0015501640250100701,0.005988456818122667,-0.010161148134821505,0.01325505151225167,0.011338849653981443,-0.01325505151225167,0.010161148134821505,-0.011338849653981443,0.024675219169334506,0.01716091882517147,False,False,False,0.023125055144324436,0.0156107548001614,0.009850134917131341,0.009788685628971373,0.028165067558790967,0.020650767214627927,0.01489014733159787,0.028063539282582695,0.02054923893841966,0.014727169767229632
ridge|history_unavailable|budget=04,ridge,history_unavailable,4,False,D,ridge::D,ridge::D,D,1.0,False,4,4,0.6621656516928427,1.0,"[""D""]",whole,1520,benchmark,ridge::NONE,False,21,0.023125055144324436,2.606807609085381,"post hoc; fixed-model conditional local-shift approximation, not achieved power",0.02501758035370849,-0.02501758035370849,0.007864672637809855,0.00945661477065427,0.03978472484102152,0.03769763940660193,-0.03978472484102152,-0.00945661477065427,-0.03769763940660193,0.048142635498032924,0.04551926882891681,False,False,False,0.023125055144324436,0.020501688475208325,0.012936235313087541,0.012680059052893438,0.029744130631405113,0.027120763962289,0.019555310800168216,0.029941556737429622,0.02731819006831351,0.019496560645998622
