algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
hgb,False,extended_K,hgb::NONE,NONE,0,0.6856435498450167,hgb::D_B_M_P_C_A_K,prevalence,-0.0271617537323616,-0.0028316963667011,0.0,0.0243300573656605,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M,M,1,0.6787618311547813,hgb::D_B_M_P_C_A_K,prevalence,-0.034043472422597,-0.0097134150569365,-0.0068817186902353,0.0174483386754252,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B,B,1,0.6818963925562068,hgb::D_B_M_P_C_A_K,prevalence,-0.0309089110211715,-0.006578853655511,-0.0037471572888099,0.0205829000768505,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::C,C,1,0.6848823958558261,hgb::D_B_M_P_C_A_K,prevalence,-0.0279229077215521,-0.0035928503558915,-0.0007611539891904,0.02356890337647,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::A,A,1,0.6972900894458692,hgb::D_B_M_P_C_A_K,prevalence,-0.015515214131509,0.0088148432341514,0.0116465396008523,0.0359765969665129,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_C,M_C,2,0.6800606997798349,hgb::D_B_M_P_C_A_K,prevalence,-0.0327446037975434,-0.0084145464318829,-0.0055828500651818,0.0187472073004786,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_C,B_C,2,0.6801576799673378,hgb::D_B_M_P_C_A_K,prevalence,-0.0326476236100406,-0.00831756624438,-0.0054858698776788,0.0188441874879816,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_M,B_M,2,0.6801649463576981,hgb::D_B_M_P_C_A_K,prevalence,-0.0326403572196802,-0.0083102998540196,-0.0054786034873185,0.0188514538783419,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::B_A,B_A,2,0.6874268219693076,hgb::D_B_M_P_C_A_K,prevalence,-0.0253784816080707,-0.0010484242424101,0.001783272124291,0.0261133294899515,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::C_A,C_A,2,0.6924475864199597,hgb::D_B_M_P_C_A_K,prevalence,-0.0203577171574186,0.0039723402082419,0.006804036574943,0.0311340939406035,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
hgb,False,extended_K,hgb::M_A,M_A,2,0.7215173654456308,hgb::D_B_M_P_C_A_K,prevalence,0.0087120618682526,0.0330421192339131,0.0358738156006144,0.060203872966275,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,0,0
