model,reference,delta_log_loss,paired_percentile_95_low,paired_percentile_95_high,pointwise_upper95_basic,simultaneous_upper95_basic,bootstrap_se,approx_mde_one_sided80,family_contrasts,bootstrap_reps,noninferior_margin_0.0025,noninferior_margin_0.005,noninferior_margin_0.01,noninferior_margin_0.02,algorithm,has_history,domain,family
ridge::H,ridge::H_D_B_M_P_C_A_K,-0.038980608053649085,-0.06038067749875326,-0.01959237967123523,-0.02046111103842944,-0.018991780858595347,0.010494201005147348,0.026093566980588626,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D,ridge::H_D_B_M_P_C_A_K,-0.0032762751193698655,-0.012528858342419067,0.006040654660958657,0.00446838701833532,0.01671255207568387,0.004740112711147496,0.01178617109232034,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_B,ridge::H_D_B_M_P_C_A_K,-0.04236810420888707,-0.06289751009138012,-0.024335636441697964,-0.025215126028326512,-0.022379277013833333,0.010016557745153,0.024905919022313767,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_B,ridge::H_D_B_M_P_C_A_K,-0.008977919000091004,-0.017253841008861653,-0.0007197812634572451,-0.0018834054510996172,0.011010908194962733,0.004272558040642596,0.010623608158189144,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_M,ridge::H_D_B_M_P_C_A_K,-0.04093496072727519,-0.06247215424841281,-0.021383366805704813,-0.022738306739804925,-0.020946133532221453,0.010475507522345474,0.02604708610554612,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_M,ridge::H_D_B_M_P_C_A_K,0.00012659667780910575,-0.009222835673023367,0.009266168695083827,0.007979846759666323,0.020115423872862845,0.004752774529578775,0.01181765438553824,127,2000,False,False,False,False,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_B_M,ridge::H_D_B_M_P_C_A_K,-0.04275081397436398,-0.06329192835727167,-0.02461818766417094,-0.02553258402266504,-0.02276198677931024,0.010013388508392526,0.024898038794781797,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_B_M,ridge::H_D_B_M_P_C_A_K,-0.004140323641746396,-0.012500772750500754,0.004220790673098732,0.0029955739126073487,0.01584850355330734,0.004258280985898024,0.010588108620484437,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_P,ridge::H_D_B_M_P_C_A_K,-0.037483182647923455,-0.058749343825943316,-0.018142641120053125,-0.018785050444284437,-0.017494355452869717,0.010498561985673756,0.026104410449034776,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_P,ridge::H_D_B_M_P_C_A_K,-0.0009219289930623473,-0.010198614575235299,0.00835179234828422,0.006774013070531581,0.01906689820199139,0.0047449100288499794,0.011798099502185515,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_B_P,ridge::H_D_B_M_P_C_A_K,-0.039783859921907055,-0.060698370593869164,-0.021393775733216328,-0.022471386263444998,-0.019795032726853318,0.010041894660709845,0.02496891862588909,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_B_P,ridge::H_D_B_M_P_C_A_K,-0.005199035494171218,-0.013437338676216435,0.002881129043628665,0.0018002994019513142,0.014789791700882519,0.004223743517698522,0.010502232074060215,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_M_P,ridge::H_D_B_M_P_C_A_K,-0.03957816838741937,-0.061092886096433374,-0.020186936915757698,-0.02132352947482189,-0.019589341192365634,0.010503537571068857,0.026116782117036087,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_M_P,ridge::H_D_B_M_P_C_A_K,0.0012580080169403353,-0.00804854402136127,0.01052157807188819,0.009029989163108994,0.021246835211994074,0.004734308933979536,0.011771740146296122,127,2000,False,False,False,False,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_B_M_P,ridge::H_D_B_M_P_C_A_K,-0.040590665018932034,-0.06144582687700962,-0.02207989706045243,-0.023204754156949222,-0.020601837823878297,0.010037624796920842,0.024958301716919873,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_B_M_P,ridge::H_D_B_M_P_C_A_K,-0.0025058661138926664,-0.010915512998519603,0.005350498695502897,0.004494156811427145,0.017482961081161073,0.004194560363039139,0.010429668893648861,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_C,ridge::H_D_B_M_P_C_A_K,-0.03932552965674348,-0.06033797665986035,-0.02022798397879443,-0.021023369170174708,-0.01933670246168974,0.010418261407861817,0.02590474508101981,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_C,ridge::H_D_B_M_P_C_A_K,-0.0036279441112117734,-0.01270165776900033,0.005599188004843805,0.004105445331392723,0.016360883083841964,0.00468381538831861,0.01164618921439149,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_B_C,ridge::H_D_B_M_P_C_A_K,-0.04283332405902411,-0.06344056343523992,-0.02475670418983265,-0.025824301573070165,-0.022844496863970373,0.009940575856451353,0.02471699196620196,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_B_C,ridge::H_D_B_M_P_C_A_K,-0.008790992704904162,-0.016970773498464417,-0.0007397672092933537,-0.0017874237535193153,0.011197834490149576,0.00419921494796837,0.010441242402061571,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_M_C,ridge::H_D_B_M_P_C_A_K,-0.04144395199498089,-0.06254765496235382,-0.02210365921412927,-0.02336879146746696,-0.02145512479992715,0.010397397379228141,0.02585286719833291,127,2000,True,True,True,True,ridge,True,extended_K,ridge|history=True|extended_K
ridge::H_D_M_C,ridge::H_D_B_M_P_C_A_K,-0.0001773856047768547,-0.009501782017484044,0.008924954723941378,0.0075729454469664476,0.019811441590276882,0.00469713879889301,0.01167931753984118,127,2000,False,False,False,True,ridge,True,extended_K,ridge|history=True|extended_K
