threshold,model,net_benefit,scope
0.1,P0,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::D_B_M_P_C_A,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::D_B_M_P_C_A_K,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::D_M_P_A,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::D_M_P_A_K,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::H_D_B_M_P_C_A,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::H_D_B_M_P_C_A_K,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::H_D_M_P,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,hgb::H_D_M_P_A,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,prevalence,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,ridge::D_A_K,0.5125,hypothetical classification utility; not intervention effectiveness
0.1,ridge::D_B,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,ridge::D_B_M_P_C_A,0.5125,hypothetical classification utility; not intervention effectiveness
0.1,ridge::D_B_M_P_C_A_K,0.5125730994152047,hypothetical classification utility; not intervention effectiveness
0.1,ridge::H_D,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,ridge::H_D_B_A,0.5124269005847953,hypothetical classification utility; not intervention effectiveness
0.1,ridge::H_D_B_M_P_C_A,0.5125,hypothetical classification utility; not intervention effectiveness
0.1,ridge::H_D_B_M_P_C_A_K,0.5126461988304093,hypothetical classification utility; not intervention effectiveness
0.1,act_none,0.0,
0.1,act_all,0.5124269005847953,
0.15000000000000002,P0,0.48374613003095973,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::D_B_M_P_C_A,0.4832043343653251,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::D_B_M_P_C_A_K,0.4832043343653251,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::D_M_P_A,0.48374613003095973,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::D_M_P_A_K,0.482546439628483,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::H_D_B_M_P_C_A,0.482546439628483,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::H_D_B_M_P_C_A_K,0.4826625386996904,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::H_D_M_P,0.482546439628483,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,hgb::H_D_M_P_A,0.4832043343653251,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,prevalence,0.48374613003095973,hypothetical classification utility; not intervention effectiveness
0.15000000000000002,ridge::D_A_K,0.48212074303405567,hypothetical classification utility; not intervention effectiveness
