subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se
H,True,1,1,0,1,ridge,1.0,0.6620829888105124,0.002976771157332998
H_D,True,2,5,4,5,ridge,1.0,0.6396754472363618,0.008298910131936675
H_B,True,2,2,1,2,ridge,1.0,0.6578158495921907,0.004326957009805568
H_D_B,True,3,6,5,6,ridge,1.0,0.6379948075675399,0.006840878391723173
H_M,True,2,2,1,2,ridge,1.0,0.6622409595761508,0.0028036145840010756
H_D_M,True,3,6,5,6,ridge,1.0,0.6397760153074639,0.008306886391931051
H_B_M,True,3,3,2,3,ridge,1.0,0.6580088257205885,0.004268140723203054
H_D_B_M,True,4,7,6,7,ridge,1.0,0.6378915085181807,0.0068846758260063005
H_P,True,2,12,11,2,ridge,1.0,0.662450328774536,0.0031824635648987775
H_D_P,True,3,16,15,6,ridge,1.0,0.6397389504100328,0.009160602987331309
H_B_P,True,3,13,12,3,ridge,0.1,0.6577918321132824,0.004177065743869202
H_D_B_P,True,4,17,16,7,ridge,1.0,0.6375400411253291,0.008023456957847293
H_M_P,True,3,13,12,3,ridge,0.1,0.6625724600188355,0.0028824417926408773
H_D_M_P,True,4,17,16,7,ridge,1.0,0.6398515673596114,0.009172914897101158
H_B_M_P,True,4,14,13,4,ridge,0.1,0.657963803376312,0.00410185119959144
H_D_B_M_P,True,5,18,17,8,ridge,1.0,0.6375985212431627,0.00801887799248839
H_C,True,2,2,1,2,ridge,0.1,0.6624391851158958,0.003062064294856948
H_D_C,True,3,6,5,6,ridge,1.0,0.6411795164486124,0.008514849404577477
H_B_C,True,3,3,2,3,ridge,0.1,0.6581911682912668,0.0043536933549433825
H_D_B_C,True,4,7,6,7,ridge,1.0,0.6393410724180268,0.00703523092802638
H_M_C,True,3,3,2,3,ridge,0.1,0.6625805616898517,0.00286589265851006
H_D_M_C,True,4,7,6,7,ridge,1.0,0.641085194221472,0.008549900081410409
H_B_M_C,True,4,4,3,4,ridge,0.1,0.6583859138538867,0.004283082979894178
H_D_B_M_C,True,5,8,7,8,ridge,1.0,0.6392791779703766,0.0070723950334699685
H_P_C,True,3,13,12,3,ridge,0.1,0.6627999109852467,0.003221475409410987
H_D_P_C,True,4,17,16,7,ridge,1.0,0.6411656135944186,0.009402983834943044
H_B_P_C,True,4,14,13,4,ridge,0.1,0.6581750886830957,0.004298025843442504
H_D_B_P_C,True,5,18,17,8,ridge,1.0,0.6389895302013353,0.00825072721962402
H_M_P_C,True,4,14,13,4,ridge,0.1,0.662913843288672,0.003007285798277692
H_D_M_P_C,True,5,18,17,8,ridge,1.0,0.641371068926308,0.009379324833725819
H_B_M_P_C,True,5,15,14,5,ridge,0.1,0.6583572548093996,0.004211901527603615
H_D_B_M_P_C,True,6,19,18,9,ridge,1.0,0.6391421838930499,0.008240418074365086
H_A,True,2,2,1,2,ridge,0.1,0.6598425482035736,0.0036903753756648994
H_D_A,True,3,6,5,6,ridge,1.0,0.6380071651246797,0.009082526364709341
H_B_A,True,3,3,2,3,ridge,0.1,0.6557119973590803,0.004548877440040126
H_D_B_A,True,4,7,6,7,ridge,1.0,0.6362755316368176,0.007530720375176348
H_M_A,True,3,3,2,3,ridge,0.1,0.6599667537001243,0.0035050981588030544
H_D_M_A,True,4,7,6,7,ridge,1.0,0.6380852067170125,0.009088624756367018
H_B_M_A,True,4,4,3,4,ridge,0.1,0.6558940017566006,0.004480304718993435
H_D_B_M_A,True,5,8,7,8,ridge,1.0,0.6362310759849575,0.007586271282893614
H_P_A,True,3,13,12,3,ridge,0.1,0.6602667508879307,0.003727982675429871
H_D_P_A,True,4,17,16,7,ridge,1.0,0.6380894913486092,0.009761296454816057
H_B_P_A,True,4,14,13,4,ridge,0.1,0.6558327693862638,0.004388945036827461
H_D_B_P_A,True,5,18,17,8,ridge,1.0,0.636039150799616,0.008408262073427918
H_M_P_A,True,4,14,13,4,ridge,0.1,0.6603533563864001,0.003518909096777369
H_D_M_P_A,True,5,18,17,8,ridge,1.0,0.6383114360628088,0.009708018926724673
H_B_M_P_A,True,5,15,14,5,ridge,0.1,0.65599403683093,0.004305849063320021
H_D_B_M_P_A,True,6,19,18,9,ridge,1.0,0.6362297780478974,0.008393787828263511
H_C_A,True,3,3,2,3,ridge,0.1,0.6601953597465929,0.004142867158571811
H_D_C_A,True,4,7,6,7,ridge,1.0,0.639353117018099,0.00929764417979896
H_B_C_A,True,4,4,3,4,ridge,0.1,0.6560954026894313,0.004975081892458658
H_D_B_C_A,True,5,8,7,8,ridge,1.0,0.6376092508168036,0.007759586634235583
H_M_C_A,True,4,4,3,4,ridge,0.1,0.6603167369235085,0.003950001132869533
H_D_M_C_A,True,5,8,7,8,ridge,1.0,0.6395031419105079,0.009364553808834618
H_B_M_C_A,True,5,5,4,5,ridge,0.1,0.6562823083746055,0.004902875898247016
H_D_B_M_C_A,True,6,9,8,9,ridge,1.0,0.6376637595050733,0.007840541323662674
H_P_C_A,True,4,14,13,4,ridge,0.1,0.660629096618732,0.0041544665213047545
H_D_P_C_A,True,5,18,17,8,ridge,1.0,0.6395779535645535,0.009941047143479029
H_B_P_C_A,True,5,15,14,5,ridge,0.1,0.6562220537787145,0.004793870017323246
H_D_B_P_C_A,True,6,19,18,9,ridge,1.0,0.6375113465906187,0.008591831620632762
H_M_P_C_A,True,5,15,14,5,ridge,0.1,0.6607249067951054,0.003941766639293115
H_D_M_P_C_A,True,6,19,18,9,ridge,1.0,0.6398229349659593,0.01000510621746886
H_B_M_P_C_A,True,6,16,15,6,ridge,0.1,0.6563962695123899,0.004703392249605688
H_D_B_M_P_C_A,True,7,20,19,10,ridge,1.0,0.6376104231805922,0.008669635192591552
H_K,True,2,12,11,2,ridge,1.0,0.6493822290495769,0.0031129143766896778
H_D_K,True,3,16,15,6,ridge,1.0,0.633478707878488,0.008694094386026582
H_B_K,True,3,13,12,3,ridge,0.1,0.6462600809728479,0.003320126277178177
H_D_B_K,True,4,17,16,7,ridge,1.0,0.6322192898000069,0.007183193629816105
H_M_K,True,3,13,12,3,ridge,1.0,0.6492713792388692,0.00316768641452593
H_D_M_K,True,4,17,16,7,ridge,1.0,0.6331673311080751,0.008742452260641567
H_B_M_K,True,4,14,13,4,ridge,1.0,0.6459508800436963,0.003411957325315119
H_D_B_M_K,True,5,18,17,8,ridge,1.0,0.6316655820951923,0.007231628292431845
H_P_K,True,3,23,22,3,ridge,0.1,0.649287206076472,0.0034198711473935046
H_D_P_K,True,4,27,26,7,ridge,1.0,0.63301703934863,0.009766655097757789
H_B_P_K,True,4,24,23,4,ridge,0.1,0.6455566984754917,0.0032809101095528028
H_D_B_P_K,True,5,28,27,8,ridge,1.0,0.6311433010160259,0.008465880429585935
H_M_P_K,True,4,24,23,4,ridge,0.1,0.6492351273500917,0.0034748976530903225
H_D_M_P_K,True,5,28,27,8,ridge,1.0,0.6329664793271298,0.009783242393790645
H_B_M_P_K,True,5,25,24,5,ridge,0.1,0.6453270306315815,0.003289986964329622
H_D_B_M_P_K,True,6,29,28,9,ridge,1.0,0.6309301898432982,0.008473699703006222
H_C_K,True,3,13,12,3,ridge,0.1,0.6499278537509775,0.00286511342161312
H_D_C_K,True,4,17,16,7,ridge,1.0,0.6349293288939407,0.008712548396624683
H_B_C_K,True,4,14,13,4,ridge,0.1,0.646835853149902,0.0032493888899671184
H_D_B_C_K,True,5,18,17,8,ridge,1.0,0.6335561791075445,0.007163400476231024
H_M_C_K,True,4,14,13,4,ridge,0.1,0.6498282628612461,0.0029525570329530446
H_D_M_C_K,True,5,18,17,8,ridge,1.0,0.6345478130702493,0.008798960187729497
H_B_M_C_K,True,5,15,14,5,ridge,0.1,0.6465282489851105,0.0033079058931365516
H_D_B_M_C_K,True,6,19,18,9,ridge,1.0,0.6331611805054308,0.007248287946464324
H_P_C_K,True,4,24,23,4,ridge,0.1,0.6498351025560678,0.0032226571397129234
H_D_P_C_K,True,5,28,27,8,ridge,1.0,0.6344883691328542,0.009773682791820204
