algorithm,subset,config,oof_log_loss,fold_mean,fold_se,fold_losses
ridge,H,0.001,0.6756489885510841,0.6756489885510841,0.0005590704058580725,"[0.6742762090087376, 0.6769013568833854, 0.6765963596195764, 0.6743526719956006, 0.6761183452481208]"
ridge,H,0.01,0.6634508341512928,0.6634508341512927,0.0020973361563779032,"[0.6580172527588969, 0.6678431389252503, 0.667069411364721, 0.6587898781993626, 0.6655344895082329]"
ridge,H,0.1,0.6620975780631592,0.662097578063159,0.0028678388730434385,"[0.6545486674547257, 0.6679650481388343, 0.6670699278502719, 0.6558186886783685, 0.6650855581935955]"
ridge,H,1.0,0.6620829888105124,0.6620829888105124,0.002976771157332998,"[0.6542337737841821, 0.6681555789735202, 0.6672472477893969, 0.6555762101180558, 0.6652021333874065]"
ridge,H,10.0,0.6620837226304023,0.6620837226304023,0.0029881158620137277,"[0.6542030804836917, 0.6681776271708507, 0.6672679694377373, 0.6555533748372067, 0.665216561222525]"
ridge,H_D,0.001,0.6724820323788872,0.6724820323788872,0.0003231747065099445,"[0.6719564105409013, 0.6723238227146948, 0.6737142769924976, 0.671964182696881, 0.6724514689494608]"
ridge,H_D,0.01,0.6519004935562027,0.6519004935562027,0.0018297802865240172,"[0.6502315605799276, 0.6475900181634762, 0.6583328460334578, 0.6502389875348494, 0.6531090554693029]"
ridge,H_D,0.1,0.642922016756915,0.6429220167569151,0.005195585317149101,"[0.6443090362464916, 0.6255864835419381, 0.6574580515205122, 0.6400825725388526, 0.647173939936781]"
ridge,H_D,1.0,0.6396754472363618,0.6396754472363619,0.008298910131936675,"[0.6448644561705156, 0.6103486620807739, 0.6607244763870672, 0.636603532281079, 0.6458361092623739]"
ridge,H_D,10.0,0.6406576227427847,0.6406576227427847,0.009820337984157273,"[0.6455797945958529, 0.6071654963498017, 0.6677656609396763, 0.636545228676134, 0.6462319331524585]"
ridge,H_B,0.001,0.6729522749362165,0.6729522749362165,0.0009512513911060637,"[0.6712347712743785, 0.6762787521529146, 0.6732194442768865, 0.6709533125559876, 0.6730750944209148]"
ridge,H_B,0.01,0.6591452485192818,0.6591452485192819,0.003194307747666591,"[0.652983408668407, 0.6697069380624286, 0.6605719639382704, 0.6520162491801288, 0.6604476827471742]"
ridge,H_B,0.1,0.6578177131925182,0.6578177131925182,0.004190507831820159,"[0.6495738477484536, 0.671367711309492, 0.6599701353960435, 0.6482920830400304, 0.6598847884685717]"
ridge,H_B,1.0,0.6578158495921907,0.6578158495921907,0.004326957009805568,"[0.6492842601854195, 0.671767081090083, 0.6600750496401335, 0.6479581244415391, 0.6599947326037783]"
ridge,H_B,10.0,0.6578179465301748,0.6578179465301746,0.0043411196319362595,"[0.6492564611565825, 0.6718107210610756, 0.660088327001569, 0.6479257071903401, 0.6600085162413061]"
ridge,H_D_B,0.001,0.6699035286091414,0.6699035286091413,0.0005639023011109041,"[0.669011111439756, 0.6718062548593362, 0.670472673928292, 0.6686827120788127, 0.6695448907395092]"
ridge,H_D_B,0.01,0.6485028265707374,0.6485028265707375,0.0015659865470076914,"[0.6456733269624152, 0.6502305154269568, 0.6531302208083603, 0.6444566542635828, 0.6490234153923724]"
ridge,H_D_B,0.1,0.640647216080486,0.6406472160804861,0.003961013098782664,"[0.6398946474747221, 0.6309251077160914, 0.6539332791149943, 0.6348691479465612, 0.6436138981500613]"
