algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,evaluation_subgroup,evaluation_n,model_variants_passing_same_subset,learner_families_passing_same_subset
hgb,False,extended_K,hgb::NONE,NONE,0,0.6919851207085788,hgb::D_B_M_P_C_A_K,prevalence,-0.06360040353177743,-0.030351977032194638,0.0,0.03324842649958279,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::M,M,1,0.6837557611809335,hgb::D_B_M_P_C_A_K,prevalence,-0.07182976305942267,-0.03858133655983988,-0.008229359527645235,0.025019066971937554,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B,B,1,0.6890689608595347,hgb::D_B_M_P_C_A_K,prevalence,-0.06651656338082129,-0.0332681368812385,-0.0029161598490439937,0.030332266650538797,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::C,C,1,0.690411656150741,hgb::D_B_M_P_C_A_K,prevalence,-0.06517386808961488,-0.03192544159003209,-0.001573464557837633,0.031674961941745156,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::A,A,1,0.709693044904907,hgb::D_B_M_P_C_A_K,prevalence,-0.04589247933544898,-0.012644052835866192,0.017707924196328183,0.05095635069591097,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::M_C,M_C,2,0.6829427038768414,hgb::D_B_M_P_C_A_K,prevalence,-0.07264282036351467,-0.039394393863931884,-0.009042416831737341,0.024206009667845446,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_M,B_M,2,0.6848387348081888,hgb::D_B_M_P_C_A_K,prevalence,-0.07074678943216714,-0.03749836293258435,-0.007146385900389773,0.026102040599193015,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_C,B_C,2,0.6877498159559098,hgb::D_B_M_P_C_A_K,prevalence,-0.06783570828444623,-0.034587281784863436,-0.004235304752668846,0.029013121746913943,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_A,B_A,2,0.7026867220270306,hgb::D_B_M_P_C_A_K,prevalence,-0.052898802213325394,-0.019650375713742604,0.01070160131845198,0.04395002781803477,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::C_A,C_A,2,0.7030033455974942,hgb::D_B_M_P_C_A_K,prevalence,-0.0525821786428618,-0.01933375214327901,0.01101822488891553,0.04426665138849832,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::M_A,M_A,2,0.7425837882737707,hgb::D_B_M_P_C_A_K,prevalence,-0.013001735966585187,0.020246690532997602,0.050598667565192254,0.08384709406477504,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_M_C,B_M_C,3,0.682531775630935,hgb::D_B_M_P_C_A_K,prevalence,-0.07305374860942108,-0.039805322109838295,-0.00945334507764368,0.02379508142193911,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_C_A,B_C_A,3,0.6970807397223029,hgb::D_B_M_P_C_A_K,prevalence,-0.058504784518053125,-0.025256358018470336,0.005095619013724249,0.038344045513307036,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::M_C_A,M_C_A,3,0.7165610527664816,hgb::D_B_M_P_C_A_K,prevalence,-0.039024471473874396,-0.005776044974291607,0.02457593205790297,0.05782435855748576,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_M_A,B_M_A,3,0.720224264640833,hgb::D_B_M_P_C_A_K,prevalence,-0.035361259599522896,-0.0021128330999401063,0.0282391439322544,0.06148757043183719,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::B_M_C_A,B_M_C_A,4,0.7045196490420552,hgb::D_B_M_P_C_A_K,prevalence,-0.05106587519830072,-0.01781744869871793,0.012534528333476623,0.045782954833059414,255,True,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::D,D,4,0.7434261099690316,hgb::D_B_M_P_C_A_K,prevalence,-0.01215941427132432,0.021089012228258472,0.05144098926045295,0.08468941576003575,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::D_C,D_C,5,0.7342188554734144,hgb::D_B_M_P_C_A_K,prevalence,-0.02136666876694164,0.011881757732641149,0.042233734764835704,0.07548216126441849,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::D_M,D_M,5,0.7349738008864034,hgb::D_B_M_P_C_A_K,prevalence,-0.02061172335395257,0.012636703145630219,0.04298868017782493,0.07623710667740771,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::D_B,D_B,5,0.7386318319827264,hgb::D_B_M_P_C_A_K,prevalence,-0.016953692257629667,0.016294734241953122,0.046646711274147656,0.07989513777373045,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
hgb,False,extended_K,hgb::D_A,D_A,5,0.7684961935201677,hgb::D_B_M_P_C_A_K,prevalence,0.01291066927981178,0.04615909577939457,0.07651107281158925,0.10975949931117204,255,False,False,False,post-evaluation hypothesis-generating; independent future validation required,disjoint,879,0,0
