model,subset,has_history,n_blocks,raw_items,additional_items,model_input_variables,algorithm,best_config,oof_log_loss,fold_se,encoded_features,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
ridge::H,H,True,1.0,1,0,1,ridge,1.0,0.6620829888105124,0.0029767711573329,1,1520,853,0.5611842105263158,0.6606312282641579,0.233929932255065,0.6069046367789143,0.6211904240601227,-0.0802440552502958,1.0805556926176287
ridge_fixed::H,H,True,1.0,1,0,1,ridge_fixed,0.1,0.6620975780631592,0.0028678388730434385,1,1520,853,0.5611842105263158,0.6607078047863713,0.2339685604152659,0.6069046367789143,0.6211904240601227,-0.0865965829697847,1.1065247762376234
ridge::H_D,H_D,True,2.0,5,4,5,ridge,1.0,0.6396754472363618,0.0082989101319366,32,1520,853,0.5611842105263158,0.696335561198437,0.2443954024786482,0.6011317319066141,0.6079220115969909,0.0991572947870941,0.4110314273390901
ridge_fixed::H_D,H_D,True,2.0,5,4,5,ridge_fixed,0.1,0.642922016756915,0.005195585317149101,32,1520,853,0.5611842105263158,0.6682722636818231,0.2366851331636086,0.6132241616589127,0.6237818382147262,0.02074659296294,0.6857242286199371
ridge::H_B,H_B,True,2.0,2,1,2,ridge,1.0,0.6578158495921907,0.0043269570098055,2,1520,853,0.5611842105263158,0.6572437321089197,0.2322817476455345,0.622201208891451,0.6331735139207219,-0.0674936931098295,1.0168351503426765
ridge_fixed::H_B,H_B,True,2.0,2,1,2,ridge_fixed,0.1,0.6578177131925182,0.004190507831820159,2,1520,853,0.5611842105263158,0.6572625288428798,0.2322930825189142,0.622201208891451,0.6331735139207219,-0.0729180597505475,1.0393037455710443
ridge::H_D_B,H_D_B,True,3.0,6,5,6,ridge,1.0,0.6379948075675399,0.0068408783917231,33,1520,853,0.5611842105263158,0.6906339173177158,0.2419336336406595,0.6112020191545493,0.6165756781182509,0.0840403481114681,0.4525525413436202
ridge_fixed::H_D_B,H_D_B,True,3.0,6,5,6,ridge_fixed,0.1,0.640647216080486,0.003961013098782664,33,1520,853,0.5611842105263158,0.6638423304551029,0.2345585107181038,0.6229165604770885,0.6319208235618974,0.0094266929674042,0.7130075979447182
ridge::H_M,H_M,True,2.0,2,1,2,ridge,1.0,0.6622409595761508,0.002803614584001,2,1520,853,0.5611842105263158,0.6586768755905318,0.2330135068177254,0.6533409731242233,0.6660873467016983,-0.093952418698355,1.121221109868314
ridge_fixed::H_M,H_M,True,2.0,2,1,2,ridge_fixed,0.1,0.6622531035243827,0.002693845760054624,2,1520,853,0.5611842105263158,0.6587198786190033,0.2330344419174442,0.6533409731242233,0.6660873467016983,-0.1010254568167185,1.1495387166902264
ridge::H_D_M,H_D_M,True,3.0,6,5,6,ridge,1.0,0.6397760153074639,0.008306886391931,33,1520,853,0.5611842105263158,0.6997384329956161,0.2459734895369643,0.5953421296385804,0.6030941241906089,0.10727007271444,0.3879294746524578
ridge_fixed::H_D_M,H_D_M,True,3.0,6,5,6,ridge_fixed,0.1,0.64301320338085,0.005168793225460626,33,1520,853,0.5611842105263158,0.6692139372910054,0.2371202565089114,0.6103838467636052,0.6218942877293749,0.0240639719637442,0.6753619569912875
ridge::H_B_M,H_B_M,True,3.0,3,2,3,ridge,1.0,0.6580088257205885,0.004268140723203,3,1520,853,0.5611842105263158,0.6568610223434429,0.2321054008315901,0.6440528270448597,0.6601475919065225,-0.0697584956408667,1.0233513043178648
ridge_fixed::H_B_M,H_B_M,True,3.0,3,2,3,ridge_fixed,0.1,0.6580097506542718,0.004129105159058589,3,1520,853,0.5611842105263158,0.6567912061809835,0.2320753343296665,0.6440528270448597,0.6601475919065225,-0.0758064241664955,1.04762209763647
ridge::H_D_B_M,H_D_B_M,True,4.0,7,6,7,ridge,1.0,0.6378915085181807,0.0068846758260063,34,1520,853,0.5611842105263158,0.6954715126760604,0.2440409750740397,0.603372698176117,0.6086676647364443,0.0948874947168383,0.4203924090901489
ridge_fixed::H_D_B_M,H_D_B_M,True,4.0,7,6,7,ridge_fixed,0.1,0.6406532092485842,0.0039782150047556275,34,1520,853,0.5611842105263158,0.6659944713197946,0.2355429550626378,0.6185655706730456,0.6285702154315538,0.01723161876067,0.6906135872571778
ridge::H_P,H_P,True,2.0,12,11,2,ridge,1.0,0.662450328774536,0.0031824635648987,2,1520,853,0.5611842105263158,0.6621286536698835,0.2346292262731886,0.5830871199804554,0.5998696636671473,-0.0688125895024835,1.0518292328780874
ridge_fixed::H_P,H_P,True,2.0,12,11,2,ridge_fixed,0.1,0.6624528919931131,0.0030703929419420286,2,1520,853,0.5611842105263158,0.6621651245678533,0.2346508580122381,0.5830871199804554,0.5998696636671473,-0.0751111039126633,1.0774427937867272
ridge::H_D_P,H_D_P,True,3.0,16,15,6,ridge,1.0,0.6397389504100328,0.0091606029873313,33,1520,853,0.5611842105263158,0.6986899073247446,0.2455491813022886,0.5988819775340934,0.60637772158711,0.1088104359405019,0.3933443919090079
ridge_fixed::H_D_P,H_D_P,True,3.0,16,15,6,ridge_fixed,0.1,0.6428827235829888,0.0059961731707787085,33,1520,853,0.5611842105263158,0.6706042100306358,0.2377840361551352,0.611116774555278,0.6239661845653905,0.0338959942573017,0.659582671284332
ridge::H_B_P,H_B_P,True,3.0,13,12,3,ridge,0.1,0.6577918321132824,0.0041770657438692,3,1520,853,0.5611842105263158,0.6598279763958999,0.2335232322203491,0.6111563210188575,0.6294372288271232,-0.0538744292724912,0.9913697642965682
ridge_fixed::H_B_P,H_B_P,True,3.0,13,12,3,ridge_fixed,0.1,0.6577918321132824,0.004177065743869202,3,1520,853,0.5611842105263158,0.6598279763958999,0.2335232322203491,0.6111563210188575,0.6294372288271232,-0.0538744292724912,0.9913697642965682
ridge::H_D_B_P,H_D_B_P,True,4.0,17,16,7,ridge,1.0,0.6375400411253291,0.0080234569578472,34,1520,853,0.5611842105263158,0.6944128008236358,0.2436420833981803,0.6062288316568563,0.6121233271428353,0.0977326766931441,0.4258489338284598
ridge_fixed::H_D_B_P,H_D_B_P,True,4.0,17,16,7,ridge_fixed,0.1,0.6400938426831627,0.005044879627742269,34,1520,853,0.5611842105263158,0.6670974847699516,0.2361289300773584,0.6177922176074917,0.6303449634163768,0.0273862198416822,0.6769697894151133
ridge::H_M_P,H_M_P,True,3.0,13,12,3,ridge,0.1,0.6625724600188355,0.0028824417926408,3,1520,853,0.5611842105263158,0.6600336679303875,0.2336420383731312,0.6160855680014623,0.6246702707684475,-0.0903149363702584,1.1236418281626783
ridge_fixed::H_M_P,H_M_P,True,3.0,13,12,3,ridge_fixed,0.1,0.6625724600188355,0.0028824417926408773,3,1520,853,0.5611842105263158,0.6600336679303875,0.2336420383731312,0.6160855680014623,0.6246702707684475,-0.0903149363702584,1.1236418281626783
ridge::H_D_M_P,H_D_M_P,True,4.0,17,16,7,ridge,1.0,0.6398515673596114,0.0091729148971011,34,1520,853,0.5611842105263158,0.7008698443347471,0.2465756455780853,0.5947146590831196,0.6031002849251121,0.1134881146379776,0.3786271965002426
ridge_fixed::H_D_M_P,H_D_M_P,True,4.0,17,16,7,ridge_fixed,0.1,0.6429854339986559,0.005984449186904017,34,1520,853,0.5611842105263158,0.6707238606189796,0.2378378716474355,0.6108584043265589,0.6236682330790343,0.0342972237114772,0.6580332008090622
ridge::H_B_M_P,H_B_M_P,True,4.0,14,13,4,ridge,0.1,0.657963803376312,0.0041018511995914,4,1520,853,0.5611842105263158,0.6590211712988748,0.2331460153937293,0.6162806638884544,0.631606617859369,-0.0585548058437391,1.0052821064939157
