legacy_model,subset,C,encoded_features,delta_log_loss_vs_P0,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
P0_H,H,0.001,1,0.013601145587618997,1520,853,0.5611842105263158,0.6742257641973306,0.2406245026026518,0.6069046367789143,0.6211904240601227,-0.7815765125700658,3.905961407379758
P0_H,H,0.01,1,0.0015293492461875109,1520,853,0.5611842105263158,0.662153967855899,0.2346792342821756,0.6069046367789143,0.6211904240601227,-0.14992825605743937,1.364445802801071
P0_H,H,0.1,1,8.318617665973355e-05,1520,853,0.5611842105263158,0.6607078047863713,0.23396856041526595,0.6069046367789143,0.6211904240601227,-0.0865965829697847,1.1065247762376234
P0_H,H,1.0,1,6.609654446294124e-06,1520,853,0.5611842105263158,0.6606312282641579,0.233929932255065,0.6069046367789143,0.6211904240601227,-0.08024405525029589,1.0805556926176287
P0_H,H,10.0,1,1.0334712007217805e-07,1520,853,0.5611842105263158,0.6606247219568316,0.233926612810173,0.6069046367789143,0.6211904240601227,-0.0796083441473405,1.0779558658310366
M1,H_D,0.001,32,0.011186781205592895,1520,853,0.5611842105263158,0.6718113998153045,0.23943731633059065,0.6321449474559321,0.6510032098417153,-0.7441661401527092,3.766436764327233
M1,H_D,0.01,32,-0.003349837665466102,1520,853,0.5611842105263158,0.6572747809442455,0.23232852007189683,0.6306281208750841,0.6458677463840004,-0.10215506406650311,1.182659076442705
M1,H_D,0.1,32,0.0076476450721115015,1520,853,0.5611842105263158,0.6682722636818231,0.2366851331636086,0.6132241616589127,0.6237818382147262,0.020746592962940087,0.6857242286199371
M1,H_D,1.0,32,0.03571094258872547,1520,853,0.5611842105263158,0.696335561198437,0.2443954024786482,0.6011317319066141,0.6079220115969909,0.09915729478709413,0.4110314273390901
M1,H_D,10.0,32,0.05297067768434801,1520,853,0.5611842105263158,0.7135952962940597,0.24659074340039644,0.5995322971574002,0.6069194001308941,0.13134272542627487,0.3070091946991878
M2,H_D_B,0.001,33,0.008221681341256849,1520,853,0.5611842105263158,0.6688462999509683,0.23796770986223773,0.6365732725665303,0.6512862613021637,-0.6433882443844564,3.3539464075452172
M2,H_D_B,0.01,33,-0.007128419559649967,1520,853,0.5611842105263158,0.6534961990500616,0.23049948554355493,0.637583904413561,0.6504162345921229,-0.09780695198068631,1.1501374371164623
M2,H_D_B,0.1,33,0.003217711845391319,1520,853,0.5611842105263158,0.6638423304551029,0.23455851071810388,0.6229165604770885,0.6319208235618974,0.009426692967404239,0.7130075979447182
M2,H_D_B,1.0,33,0.030009298708004326,1520,853,0.5611842105263158,0.6906339173177158,0.24193363364065953,0.6112020191545493,0.6165756781182509,0.08404034811146811,0.4525525413436202
M2,H_D_B,10.0,33,0.04719811036861018,1520,853,0.5611842105263158,0.7078227289783218,0.24422457135979822,0.6086974097945166,0.6147531486974043,0.11702774573403671,0.345365165001297
M3,H_D_B_M,0.001,34,0.007086636032721783,1520,853,0.5611842105263158,0.6677112546424333,0.23741389912077415,0.6459791792263305,0.6608171165236985,-0.6798864377862163,3.481164742460969
M3,H_D_B_M,0.01,34,-0.007623925007398816,1520,853,0.5611842105263158,0.6530006936023127,0.2302677629447813,0.6389363934679788,0.6537128738280797,-0.10113215195238089,1.160106801135187
M3,H_D_B_M,0.1,34,0.0053698527100829885,1520,853,0.5611842105263158,0.6659944713197946,0.2355429550626378,0.6185655706730456,0.6285702154315538,0.017231618760670007,0.6906135872571778
