algorithm,has_history,domain,model,subset,collection_items,log_loss,full_model,benchmark,delta_loss_vs_full,upper95_vs_full_joint,delta_loss_vs_benchmark,upper95_vs_benchmark_joint,joint_family_contrasts,simultaneous_noninferior_full_margin_01,simultaneous_superior_benchmark,exploratory_dual_criterion_pass,status,model_variants_passing_same_subset,learner_families_passing_same_subset
ridge,False,extended_K,ridge::K,K,11,0.658037908287812,ridge::D_B_M_P_C_A_K,prevalence,-0.0510730578859129,-0.027635675868705,-0.0276056415572046,-0.0041682595399967,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge_fixed,False,extended_K,ridge_fixed::K,K,11,0.6583518541404016,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0230927155543589,-0.0046483589775165,-0.0272916957046149,-0.0088473391277725,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::K,K,11,0.6600205097239755,hgb::D_B_M_P_C_A_K,prevalence,-0.0527847938534025,-0.028454736487742,-0.0256230401210409,-0.0012929827553803,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge,False,extended_K,ridge::B_K,B_K,12,0.6528338910005475,ridge::D_B_M_P_C_A_K,prevalence,-0.0562770751731772,-0.0328396931559693,-0.0328096588444691,-0.0093722768272611,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge_fixed,False,extended_K,ridge_fixed::B_K,B_K,12,0.6528338910005475,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.028610678694213,-0.0101663221173706,-0.0328096588444691,-0.0143653022676266,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge,False,extended_K,ridge::C_K,C_K,12,0.6577914542596741,ridge::D_B_M_P_C_A_K,prevalence,-0.0513195119140505,-0.0278821298968426,-0.0278520955853424,-0.0044147135681344,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge_fixed,False,extended_K,ridge_fixed::C_K,C_K,12,0.6577914542596741,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0236531154350863,-0.0052087588582439,-0.0278520955853424,-0.0094077390084999,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::M_K,M_K,12,0.6580373906034016,hgb::D_B_M_P_C_A_K,prevalence,-0.0547679129739765,-0.030437855608316,-0.027606159241615,-0.0032761018759545,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge,False,extended_K,ridge::M_K,M_K,12,0.6592878584997254,ridge::D_B_M_P_C_A_K,prevalence,-0.0498231076739994,-0.0263857256567914,-0.0263556913452911,-0.0029183093280832,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge_fixed,False,extended_K,ridge_fixed::M_K,M_K,12,0.6592878584997254,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0221567111950351,-0.0037123546181926,-0.0263556913452911,-0.0079113347684487,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::C_K,C_K,12,0.6593130459702806,hgb::D_B_M_P_C_A_K,prevalence,-0.0534922576070976,-0.0291622002414371,-0.0263305038747358,-0.0020004465090753,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
hgb,False,extended_K,hgb::B_K,B_K,12,0.6606060783956187,hgb::D_B_M_P_C_A_K,prevalence,-0.0521992251817596,-0.0278691678160991,-0.0250374714493979,-0.0007074140837373,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge,False,extended_K,ridge::B_C_K,B_C_K,13,0.652237315068973,ridge::D_B_M_P_C_A_K,prevalence,-0.0568736511047518,-0.0334362690875438,-0.0334062347760435,-0.0099688527588356,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
ridge_fixed,False,extended_K,ridge_fixed::B_C_K,B_C_K,13,0.652237315068973,ridge_fixed::D_B_M_P_C_A_K,prevalence,-0.0292072546257875,-0.0107628980489451,-0.0334062347760435,-0.0149618781992011,255,True,True,True,post-evaluation hypothesis-generating; independent future validation required,3,2
