model,reference,delta_log_loss,paired_percentile_95_low,paired_percentile_95_high,pointwise_upper95_basic,simultaneous_upper95_basic,bootstrap_se,approx_mde_one_sided80,family_contrasts,bootstrap_reps,noninferior_margin_0.0025,noninferior_margin_0.005,noninferior_margin_0.01,noninferior_margin_0.02,subgroup,domain,has_history,algorithm
ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,0.010247036400673596,0.0027298363062562524,0.017444428041635224,0.016480852860116912,0.016480852860116912,0.0036353190994656646,0.009039129550805526,1,2000,False,False,False,True,all,extended_K,True,ridge
ridge::H_D,ridge::H_D_B_M_P_C_A,-0.01817793798871401,-0.025786378384537505,-0.01065730046510442,-0.011604386747294373,-0.011604386747294373,0.0039030428402993846,0.009704817901954117,1,2000,True,True,True,True,all,original_noK,True,ridge
ridge::D_A_K,ridge::D_B_M_P_C_A_K,0.0009274614581027612,-0.004986712647167865,0.006534448249523531,0.005984756649190093,0.005984756649190093,0.002984032204093705,0.0074197210584741715,1,2000,False,False,True,True,all,extended_K,False,ridge
ridge::D_B,ridge::D_B_M_P_C_A,-0.021847927839829865,-0.0304022634096426,-0.01350229486227375,-0.014715924527511862,-0.014715924527511862,0.0043274481270955956,0.010760090978246538,1,2000,True,True,True,True,all,original_noK,False,ridge
hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,0.03214923873273813,0.02276234765695993,0.041044382507062216,0.03972326919827861,0.03972326919827861,0.004626881578339339,0.01150462472716416,1,2000,False,False,False,False,all,extended_K,True,hgb
hgb::H_D_M_P,hgb::H_D_B_M_P_C_A,-0.013412030627237977,-0.021927700679995756,-0.005215831162938914,-0.006309586251692351,-0.006309586251692351,0.004337771307075761,0.010785759305747888,1,2000,True,True,True,True,all,original_noK,True,hgb
hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K,0.011185911680676768,0.005046246946609339,0.017549097911890327,0.016605959642898276,0.016605959642898276,0.0032513298521135822,0.008084349940552894,1,2000,False,False,False,True,all,extended_K,False,hgb
hgb::D_M_P_A,hgb::D_B_M_P_C_A,0.0062673765205928066,-0.001276625344202858,0.014304292297321069,0.012602551967582979,0.012602551967582979,0.003941942550541182,0.009801541053552028,1,2000,False,False,False,True,all,original_noK,False,hgb
ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,0.019554900275494867,0.010295039060534281,0.02841188851121641,0.027253055621420677,0.027253055621420677,0.004599153114526462,0.011435678598972482,1,2000,False,False,False,False,development_shared_id,extended_K,True,ridge
ridge::H_D,ridge::H_D_B_M_P_C_A,-0.01166722802460353,-0.02229483888319971,-0.0014518174389847966,-0.002553434575094493,-0.002553434575094493,0.005481365058301212,0.013629276418822752,1,2000,True,True,True,True,development_shared_id,original_noK,True,ridge
ridge::D_A_K,ridge::D_B_M_P_C_A_K,0.0024883784471041235,-0.0055493324720832056,0.010539406400443074,0.009009047261292048,0.009009047261292048,0.004115839044031137,0.010233930312948144,1,2000,False,False,True,True,development_shared_id,extended_K,False,ridge
ridge::D_B,ridge::D_B_M_P_C_A,-0.01617075606570676,-0.02796879281553886,-0.00411310874409043,-0.006390249367738018,-0.006390249367738018,0.006070521301072001,0.01509419860539332,1,2000,True,True,True,True,development_shared_id,original_noK,False,ridge
hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,0.02861090622894721,0.015736312374402175,0.041118124808050896,0.039498233004447776,0.039498233004447776,0.006334277322347235,0.015750021321606123,1,2000,False,False,False,False,development_shared_id,extended_K,True,hgb
hgb::H_D_M_P,hgb::H_D_B_M_P_C_A,-0.005885808453165012,-0.016878471183897202,0.005354802403059459,0.003621444891855719,0.003621444891855719,0.005744652513668042,0.01428393405768381,1,2000,False,True,True,True,development_shared_id,original_noK,True,hgb
hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K,0.0077217075556363715,-0.001898560855846699,0.01747984546853404,0.015711896367340418,0.015711896367340418,0.004887163967369455,0.012151810344124773,1,2000,False,False,False,True,development_shared_id,extended_K,False,hgb
hgb::D_M_P_A,hgb::D_B_M_P_C_A,0.0011494668780834237,-0.009610823800757545,0.01202369049827242,0.010519465292681095,0.010519465292681095,0.005627141333349212,0.013991745461990493,1,2000,False,False,False,True,development_shared_id,original_noK,False,hgb
ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,0.0034593905033352204,-0.0066110448041674244,0.013533377874353875,0.011964691707646382,0.011964691707646382,0.005180713531810575,0.012881713956425499,1,2000,False,False,False,True,development_disjoint_id,extended_K,True,ridge
ridge::H_D,ridge::H_D_B_M_P_C_A,-0.022925793605317896,-0.033030013168881926,-0.012812499425530073,-0.014201851082480928,-0.014201851082480928,0.005194222713508452,0.012915304197103527,1,2000,True,True,True,True,development_disjoint_id,original_noK,True,ridge
ridge::D_A_K,ridge::D_B_M_P_C_A_K,-0.00021081816641359228,-0.008717651523523976,0.00774787567412747,0.006752970067007555,0.006752970067007555,0.004210948594074527,0.01047041781812682,1,2000,False,False,True,True,development_disjoint_id,extended_K,False,ridge
ridge::D_B,ridge::D_B_M_P_C_A,-0.025987935925396312,-0.037422778722606145,-0.015036946673683271,-0.016443524395440536,-0.016443524395440536,0.0057574007245948505,0.01431563216366998,1,2000,True,True,True,True,development_disjoint_id,original_noK,False,ridge
hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,0.034729524438005456,0.02187126351709074,0.047519771048820054,0.04521482538831312,0.04521482538831312,0.006499082953143997,0.016159806379455136,1,2000,False,False,False,False,development_disjoint_id,extended_K,True,hgb
hgb::H_D_M_P,hgb::H_D_B_M_P_C_A,-0.01890043610343908,-0.029985463984724754,-0.007602213374736556,-0.009268193646348951,-0.009268193646348951,0.005826703930801242,0.014487952843655913,1,2000,True,True,True,True,development_disjoint_id,original_noK,True,hgb
hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K,0.013712140172316012,0.005608693636849045,0.021967595449986152,0.02058360589162651,0.02058360589162651,0.004214835955742861,0.010480083645188898,1,2000,False,False,False,False,development_disjoint_id,extended_K,False,hgb
hgb::D_M_P_A,hgb::D_B_M_P_C_A,0.009999549536347655,7.289080478906936e-05,0.020491281688013216,0.018235400166197034,0.018235400166197034,0.005233114892159772,0.013012008621591058,1,2000,False,False,False,True,development_disjoint_id,original_noK,False,hgb
ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,0.001132719925093105,-0.010599809581017871,0.01253456490160905,0.011264884184250219,0.011264884184250219,0.005986388703832678,0.01488500501740712,1,2000,False,False,False,True,prior_nonuser,extended_K,True,ridge
