model,estimand,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
P0,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6582135346807139,0.23274974199588044,0.6170239461896193,0.6224640088046647,,
hgb::D_B_M_P_C_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.7031063527857693,0.24978787684676557,0.5855228907076375,0.5886824419883108,,
hgb::D_B_M_P_C_A_K,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6871968935353654,0.244408595365461,0.6057843870592484,0.6343601076322944,,
hgb::D_M_P_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.7081872295246755,0.2526890306314247,0.5749089594515199,0.5908795342913858,,
hgb::D_M_P_A_K,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6975112808327549,0.24925986508059172,0.589647780381683,0.6188449372076568,,
hgb::H_D_B_M_P_C_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6720417885839787,0.23699338633306447,0.630185718873515,0.626050080880261,,
hgb::H_D_B_M_P_C_A_K,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6508539905931899,0.22878404505851255,0.66004220835807,0.6802141332474979,,
hgb::H_D_M_P,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6602306645835108,0.23262823585516934,0.6461041141522746,0.650141998702311,,
hgb::H_D_M_P_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6805676185203643,0.24026932247924518,0.6235237598021861,0.6231234780788565,,
prevalence,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6871055655537444,0.24698478566002732,0.5,0.5553403552253868,,
ridge::D_A_K,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6870978513475833,0.2428842511248544,0.6164622711624459,0.6329258217132252,,
ridge::D_B,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6854656269109975,0.24395949425585012,0.5935684766093523,0.6029285847415042,,
ridge::D_B_M_P_C_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.7001198071640339,0.24805339362086096,0.5908606870823065,0.5962380927631148,,
ridge::D_B_M_P_C_A_K,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6861646268408649,0.24246423958690236,0.6176734097239627,0.6355083685780322,,
ridge::H_D,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6757467245568468,0.2369486400917928,0.6313733588649704,0.6274356314377649,,
ridge::H_D_B_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6837798924756587,0.23760904210631406,0.635968325979184,0.6207477946072139,,
ridge::H_D_B_M_P_C_A,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6875650735821213,0.2395810025810938,0.6292195911880949,0.6160776830365831,,
ridge::H_D_B_M_P_C_A_K,"longitudinal-weighted selected analytic subset, not general population",1369,769,0.5553403552253862,0.6724789378036218,0.23335050655301348,0.6549408502048959,0.6501921701238913,,
