replicate,dev_boot_n,eval_boot_n,P0,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,ridge::H_D,ridge::H_D_B_M_P_C_A,ridge::D_A_K,ridge::D_B_M_P_C_A_K,ridge::D_B,ridge::D_B_M_P_C_A,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K
0,1570,1499,0.6553038999001906,0.7315443178438512,0.7133433081865174,0.7191296590582701,0.7283899481433735,0.7360750962888079,0.7243782149586848,0.7237738749420242,0.737269029175503,0.685950565226252,0.6558155628688672,0.7009716940608807,0.6854287440922331
1,1533,1563,0.6587225923330491,0.7148039502915594,0.7217589665360452,0.7035782354277126,0.7285709166880162,0.7251726497608958,0.731547835420739,0.7092438068794698,0.7375348482434286,0.7011252937300362,0.6816111438973913,0.7114082399037754,0.7029458142948144
2,1547,1522,0.6647772799590682,0.7155063969821316,0.7030319148207965,0.7043325545952365,0.7163947626935487,0.7185450657286723,0.7116935782011038,0.7109092342254769,0.7243002367168704,0.7104308874034557,0.684868522480967,0.7282032023131052,0.7191352996188103
3,1587,1499,0.6613749242460217,0.6930729873327809,0.6973159583205838,0.6804283733805501,0.7085712297916041,0.6975873606482584,0.7061013008036118,0.6855624547811999,0.71675154169284,0.7273992723019054,0.6928741210387435,0.7231350300105122,0.7129059395169266
4,1529,1551,0.6570633127009594,0.6963014516586645,0.6777533825645837,0.6929946052360523,0.6870096740535874,0.7043420569239152,0.6872638624618779,0.7020957651623493,0.6963265322839818,0.684883524488422,0.6547182608372948,0.7059962002853086,0.6898054644716461
5,1552,1531,0.6531158082118604,0.7053869134218862,0.6899591377474986,0.6879335153920383,0.7062119170301173,0.7125136590393636,0.7042539803318386,0.6962721112954806,0.7166333232204891,0.6895463254227833,0.6589260351478817,0.7118432106557666,0.6850969562751963
6,1551,1562,0.6731504733197289,0.7156903219746523,0.7079277596266751,0.6996807072692173,0.7192567214955395,0.7177978580570418,0.7173934987587521,0.7046338622078,0.7286640722309523,0.7237299975303799,0.7012196683100735,0.7361173114075745,0.72947115845352
7,1593,1512,0.6580138538317054,0.6930317783009817,0.696584770471719,0.6807054028398447,0.7069901543072151,0.7041578693196117,0.7090496295563109,0.6887135433085778,0.7170979544210181,0.6760572755474294,0.6523096529831368,0.6805568493682602,0.6756691525251869
8,1571,1519,0.6585437695185411,0.7166212182851867,0.7169425453320132,0.705076844985497,0.7249322515065167,0.7247360626370635,0.7248413674780483,0.7107062837463424,0.7314388244318528,0.7069811225441409,0.688354117227022,0.7264972601592675,0.7207661594183676
9,1553,1525,0.6562064514070752,0.7224422102029068,0.7069661074035137,0.700881254572974,0.7175461146895548,0.722197022875567,0.7176986708539427,0.7073785036068768,0.725067905599226,0.7040859744586337,0.6756127975846912,0.7240952625637513,0.7168320206301928
10,1518,1515,0.660493428988316,0.6943151527844516,0.6777037968276739,0.6836218272675613,0.6878655585225385,0.7062996550735139,0.6980345638677262,0.7012871827168083,0.7066800649449001,0.676637940576156,0.6538332768348107,0.6754999965099979,0.6756250079227117
11,1534,1523,0.6654013167282072,0.7395504289906089,0.7286217258400185,0.700961416397339,0.7409673514067252,0.7444196410495931,0.7363128482710021,0.7037445223912268,0.74929101341463,0.7610310544652171,0.7193850756048635,0.7616707043531132,0.7426651644888538
12,1605,1491,0.6568255607283834,0.7230457171185707,0.718236093395632,0.7071347792034516,0.7315799779892059,0.7279544141299568,0.728920252777726,0.7083300451794731,0.7410934027198083,0.7012545939447229,0.678345884828601,0.7168359583115967,0.7046668041072063
13,1538,1554,0.6583341625120853,0.7156906796716287,0.703129990763475,0.6916366748684378,0.7176701957700667,0.7166194811253158,0.7140120769085389,0.6950647075227386,0.7267445055811851,0.6782487754209058,0.6629388938214232,0.7087755021670932,0.6959007306872351
14,1569,1520,0.6588770381736545,0.7147967317162119,0.7070816172671947,0.6829861654953013,0.7173637189487263,0.7175982764576516,0.7159183786348164,0.6922745484885579,0.7265854180013533,0.6958533078942573,0.6797856452159949,0.7294569987310963,0.718822015732249
15,1570,1527,0.6613206222869039,0.7247581106325056,0.7087357621118496,0.7188896180186446,0.7322296427781407,0.7221818813715413,0.7239916092247969,0.7307376432656436,0.7470902504647158,0.7089630295830369,0.6746410436557592,0.7267012005091923,0.714644707186108
16,1602,1462,0.6694408955334901,0.7589052247761511,0.7471365991637698,0.7483257945220904,0.7704453349386383,0.7395653703912786,0.7435290428000517,0.7407979719539821,0.7660688796512843,0.7270157080244574,0.7018436481616351,0.7451452611149321,0.7497802060773779
17,1536,1536,0.6629305914975042,0.7177640845168268,0.7131824358554836,0.7116129236739468,0.7292798857071426,0.7137550135072303,0.7193752307949787,0.7144275082447784,0.7328996671347753,0.7104708657676984,0.6900530126324892,0.7266275195723854,0.7260774132402941
18,1597,1506,0.6574070547617892,0.6922554324013219,0.6767046174923983,0.6821648675732476,0.6893851835124819,0.697079806124361,0.6877434621664059,0.6839659069488745,0.6985993377921772,0.6855683390982407,0.6579553996757936,0.701289512805464,0.68781098425114
19,1574,1545,0.6706846094405565,0.7455686155883077,0.7417756416130827,0.7321916668039455,0.7605584249171066,0.7315574496960354,0.7382951062124731,0.7175244470535173,0.757012622677262,0.7286058355411715,0.6873604880733429,0.7255209325961093,0.7181108466854982
20,1515,1556,0.6754448241705419,0.7147940097464213,0.7049624393542084,0.7056376214284836,0.7260096356585379,0.6975457338473964,0.70801726337344,0.7039410874614308,0.727708492680885,0.7322051034166617,0.7144485726357124,0.7556249736164723,0.7524177600120758
21,1511,1550,0.6835532130739032,0.7448279091367329,0.73639693462604,0.74391037655956,0.7497082303462002,0.7350327747362565,0.7320989941217342,0.7333965142100544,0.7438346206266121,0.7255620237773817,0.6951230039895129,0.714684025795274,0.7002215738814781
22,1556,1514,0.6563299917658468,0.7126891662015382,0.7055070117748715,0.6937250917389101,0.7183795069080634,0.7216974213277684,0.7184278681305886,0.7037830637801679,0.7308447525249159,0.7043211971645911,0.6788700646941332,0.7154956244100477,0.7131128433015524
23,1548,1554,0.6587110337395867,0.700259752025758,0.6810845222762936,0.7030784320458768,0.7002497494367446,0.6950389874823126,0.6882738273065822,0.7020204939744541,0.7051115827777742,0.7124126840761028,0.6797775554647146,0.7216418889131441,0.705732379538053
24,1558,1538,0.6592961616944987,0.7123919577467013,0.7081201076370165,0.691443406257326,0.7231912100065645,0.710753088011337,0.7179150129060633,0.6887954089137905,0.7322119465188847,0.7043411029790306,0.6908357583591473,0.7157257049109242,0.7122118144097255
25,1548,1532,0.6664124556458796,0.7161707417617338,0.6966354996422136,0.7089486761025863,0.7141796994442792,0.7096812107514114,0.6978512242827566,0.7048200996914097,0.7132139347173444,0.7090488577987546,0.6815978255813634,0.7177522051221145,0.7027497357488938
26,1536,1549,0.6648191833775112,0.711218426198287,0.7004616919586646,0.7038552954093401,0.7121896464672165,0.7061234223553925,0.6998635743084675,0.6937115530721428,0.710188664213197,0.6983636388717261,0.667478036858972,0.7108026359151067,0.6966181580637197
27,1559,1514,0.6666246948717851,0.7544172125212933,0.7419349865834266,0.736855147293598,0.763506035536516,0.7433688732649412,0.7453565831702508,0.7383496110548412,0.7660688403250294,0.723538737787089,0.6945525942969747,0.7242628258663496,0.716504467809053
28,1542,1556,0.6607230196245116,0.710585394624152,0.6928239233508798,0.6984513391510087,0.7075450043348639,0.7098561163548109,0.703964640642444,0.7077287369459454,0.7192685273834765,0.6884799553038589,0.6692106733223081,0.7084239687510627,0.7101213059695336
29,1561,1501,0.6680715275349618,0.7358414994357084,0.7219378329518592,0.7114956650622709,0.7360596468076542,0.7298673173678267,0.7251801370631963,0.7146067136322828,0.7370604380823064,0.7264887985960329,0.7085431642316429,0.7412618163832202,0.7410138277295283
30,1556,1538,0.6692284755961764,0.7349512655523246,0.7289452236907549,0.708488826848197,0.746269940706977,0.7201260872239,0.7268364331833006,0.705267268421902,0.7420837199538111,0.7145803306644039,0.7020415697073811,0.740482725400032,0.722870842752353
31,1559,1529,0.665767777966998,0.7310575941693752,0.7294028523367334,0.7094346726019204,0.746508737023697,0.7212857793322389,0.726814170904018,0.7029851498508595,0.7435578313146525,0.7123159339232823,0.6804530083718303,0.7240198606412025,0.7037288833149552
32,1573,1523,0.6607599693073002,0.7106158428472535,0.7008376923750949,0.7015113465229739,0.7123016526878565,0.7042172966780783,0.7017135253156426,0.6960732137768334,0.7112303503476353,0.7061657456886449,0.6943004084606903,0.7252627012411201,0.7229358553123403
33,1569,1542,0.6579162758908438,0.7212589736374165,0.7056369489564042,0.7073549737250854,0.7228328602921295,0.7240393456190479,0.7199096280662542,0.7095209398451902,0.736358783768576,0.6893451834869289,0.6549538507762374,0.7160736757316813,0.7045588530547483
34,1573,1483,0.658873895293461,0.6993567472812453,0.6884010964894942,0.6949879815066269,0.6999908951348978,0.7075441655783246,0.7034059669329498,0.7019196675143415,0.7139880930159495,0.6757898718638246,0.6675388548024592,0.7015622862929964,0.6917690838279961
35,1598,1513,0.6655960920880923,0.7121086675194125,0.7102109229375244,0.6995402697179733,0.7276727825392656,0.7018661162777977,0.7163360700996849,0.6952432851311938,0.7326285292708863,0.7097282061582807,0.6768730272064712,0.7088023756653018,0.7042483715632418
36,1563,1541,0.6697274794382636,0.7437331391525454,0.7454559210364243,0.7325281829434664,0.7553849590808209,0.7365084662540372,0.7387698106445331,0.7176943772210009,0.7460980691408299,0.7134258020292608,0.6713960839429268,0.7187098548124841,0.7056556013726307
37,1556,1563,0.6594955863783737,0.7410248258772187,0.7253719540929068,0.7182189136825089,0.7421431306678821,0.7385678497703635,0.7411896214628303,0.7291020271067877,0.7563579284862479,0.7159750576957365,0.7052856590366233,0.7450748749664161,0.740644373326184
