year,variable,value,label
2023,Area1,1.0,  1) 서울
2023,Area1,2.0,  2) 부산
2023,Area1,3.0,  3) 대구
2023,Area1,4.0,  4) 인천
2023,Area1,5.0,  5) 광주
2023,Area1,6.0,  6) 대전
2023,Area1,7.0,  7) 울산
2023,Area1,8.0,  8) 세종
2023,Area1,9.0,  9) 경기
2023,Area1,10.0, 10) 강원
2023,Area1,11.0, 11) 충북
2023,Area1,12.0, 12) 충남
2023,Area1,13.0, 13) 전북
2023,Area1,14.0, 14) 전남
2023,Area1,15.0, 15) 경북
2023,Area1,16.0, 16) 경남
2023,Area1,17.0, 17) 제주
2023,Age_group,1.0,  1) 10대
2023,Age_group,2.0,  2) 20대
2023,Age_group,3.0,  3) 30대
2023,Age_group,4.0,  4) 40대
2023,Age_group,5.0,  5) 50대
2023,Age_group,6.0,  6) 60대
2023,Age_group,7.0,  7) 70대
2023,SQ1,1.0,  1) 남성
2023,SQ1,2.0,  2) 여성
2023,q1_8,1.0,  1) 거의 매일
2023,q1_8,2.0,  2) 일주일에 한두 번
2023,q1_8,3.0,  3) 1개월에 한두 번
2023,q1_8,4.0,  4) 6개월에 한두 번
2023,q1_8,5.0,  5) 최근 1년간 이용 한적 없음
2023,q1_8,9.0,  9) 전혀 이용한 적 없음
2023,q3_8,1.0,  1) 전혀 개선하지 못할 것이다
2023,q3_8,2.0,  2) 별로 개선하지 못할 것이다
2023,q3_8,3.0,  3) 약간 개선할 것이다
2023,q3_8,4.0,  4) 크게 개선할 것이다
2023,q3_8,9.0,  9) 잘 모르겠다
2023,q15_6,1.0,  1) 항상 있었다
2023,q15_6,2.0,  2) 가끔 있었다
2023,q15_6,3.0,  3) 거의 없었다
2023,q15_6,4.0,  4) 전혀 없었다
2023,q15_6,9.0,  9) 이용 경험이 없다
2023,q18_1,1.0,  1) 전혀 그렇지 않다
2023,q18_1,2.0,  2) 그렇지 않다
2023,q18_1,3.0,  3) 보통이다
2023,q18_1,4.0,  4) 그렇다
2023,q18_1,5.0,  5) 매우 그렇다
2023,q18_2,1.0,  1) 전혀 그렇지 않다
2023,q18_2,2.0,  2) 그렇지 않다
2023,q18_2,3.0,  3) 보통이다
2023,q18_2,4.0,  4) 그렇다
2023,q18_2,5.0,  5) 매우 그렇다
2023,q18_3,1.0,  1) 전혀 그렇지 않다
2023,q18_3,2.0,  2) 그렇지 않다
2023,q18_3,3.0,  3) 보통이다
2023,q18_3,4.0,  4) 그렇다
2023,q18_3,5.0,  5) 매우 그렇다
2023,q18_4,1.0,  1) 전혀 그렇지 않다
2023,q18_4,2.0,  2) 그렇지 않다
2023,q18_4,3.0,  3) 보통이다
2023,q18_4,4.0,  4) 그렇다
2023,q18_4,5.0,  5) 매우 그렇다
2023,q18_5,1.0,  1) 전혀 그렇지 않다
2023,q18_5,2.0,  2) 그렇지 않다
2023,q18_5,3.0,  3) 보통이다
2023,q18_5,4.0,  4) 그렇다
2023,q18_5,5.0,  5) 매우 그렇다
2023,q18_6,1.0,  1) 전혀 그렇지 않다
2023,q18_6,2.0,  2) 그렇지 않다
2023,q18_6,3.0,  3) 보통이다
2023,q18_6,4.0,  4) 그렇다
2023,q18_6,5.0,  5) 매우 그렇다
2023,q18_7,1.0,  1) 전혀 그렇지 않다
2023,q18_7,2.0,  2) 그렇지 않다
2023,q18_7,3.0,  3) 보통이다
2023,q18_7,4.0,  4) 그렇다
2023,q18_7,5.0,  5) 매우 그렇다
2023,q18_8,1.0,  1) 전혀 그렇지 않다
2023,q18_8,2.0,  2) 그렇지 않다
2023,q18_8,3.0,  3) 보통이다
2023,q18_8,4.0,  4) 그렇다
2023,q18_8,5.0,  5) 매우 그렇다
2023,q18_9,1.0,  1) 전혀 그렇지 않다
2023,q18_9,2.0,  2) 그렇지 않다
2023,q18_9,3.0,  3) 보통이다
2023,q18_9,4.0,  4) 그렇다
2023,q18_9,5.0,  5) 매우 그렇다
2023,q18_10,1.0,  1) 전혀 그렇지 않다
2023,q18_10,2.0,  2) 그렇지 않다
2023,q18_10,3.0,  3) 보통이다
2023,q18_10,4.0,  4) 그렇다
2023,q18_10,5.0,  5) 매우 그렇다
2023,q18_11,1.0,  1) 전혀 그렇지 않다
2023,q18_11,2.0,  2) 그렇지 않다
2023,q18_11,3.0,  3) 보통이다
2023,q18_11,4.0,  4) 그렇다
2023,q18_11,5.0,  5) 매우 그렇다
2023,q20_7,1.0,  1) 전혀 관리를 못한다
2023,q20_7,2.0,  2) 관리를 못하는 편이다
2023,q20_7,3.0,  3) 보통이다
