algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,status
ridge,True,D,인구통계 정보,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,0.01760719444082086,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,True,B,소비서비스 생활 개선 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,0.0029248912157428322,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,True,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,3.7941810576309796e-05,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,True,P,추천서비스 제공자 책무 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,0.00012553837908756767,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,True,C,개인정보 수집 동의 반응,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,-0.000933852784002543,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,True,A,생성형 AI 이용 경험,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,0.0019615370498411327,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,True,K,공통 디지털 역량 11문항,ridge::H,ridge::H_D_B_M_P_C_A_K,development_oof,development,1565,0.009635884210776852,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,D,인구통계 정보,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,0.017585198544742827,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,B,소비서비스 생활 개선 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,0.00529450478922441,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,-0.00015950740352419266,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,P,추천서비스 제공자 책무 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,0.00020542027730293433,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,C,개인정보 수집 동의 반응,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,-0.0005444932252760981,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,A,생성형 AI 이용 경험,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,0.004035656316924412,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
ridge,False,K,공통 디지털 역량 11문항,ridge::NONE,ridge::D_B_M_P_C_A_K,development_oof,development,1565,0.011895964287229771,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,D,인구통계 정보,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.0185567709662965,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,B,소비서비스 생활 개선 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.002042172013978414,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.002930302037870612,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,P,추천서비스 제공자 책무 기대,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.007557237541556339,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,C,개인정보 수집 동의 반응,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.0010551004276197304,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,A,생성형 AI 이용 경험,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.0016810403557805257,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,True,K,공통 디지털 역량 11문항,hgb::H,hgb::H_D_B_M_P_C_A_K,development_oof,development,1565,0.004121501735586595,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,D,인구통계 정보,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.02134071565878043,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,B,소비서비스 생활 개선 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.0043907374321006986,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,M,온라인 쇼핑몰 개인정보 관리 평가,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.001766125327973453,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,P,추천서비스 제공자 책무 기대,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.010442182886233655,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,C,개인정보 수집 동의 반응,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.001046967135657807,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,A,생성형 AI 이용 경험,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.003651360900447341,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
hgb,False,K,공통 디지털 역량 11문항,hgb::NONE,hgb::D_B_M_P_C_A_K,development_oof,development,1565,0.008384074423632648,"descriptive; OOF folds reused for per-subset tuning, so optimistic"
