phase,algorithm,has_history,n,reference_model,full_model,reference_log_loss,full_log_loss,full_loss_improvement,sum_block_attribution,max_person_efficiency_abs_error
development_oof,ridge,True,1565,ridge::H,ridge::H_D_B_M_P_C_A_K,0.6620829888105124,0.6307238544876693,0.03135913432284301,0.031359134322842964,6.661338147750939e-16
development_oof,ridge,False,1565,ridge::NONE,ridge::D_B_M_P_C_A_K,0.6853643289188563,0.6470515853322324,0.03831274358662407,0.038312743586624044,6.661338147750939e-16
development_oof,hgb,True,1565,hgb::H,hgb::H_D_B_M_P_C_A_K,0.6620826133717034,0.6241384882930145,0.037944125078688724,0.0379441250786887,5.551115123125783e-16
development_oof,hgb,False,1565,hgb::NONE,hgb::D_B_M_P_C_A_K,0.6853643289188563,0.6343421651540304,0.05102216376482603,0.05102216376482603,4.440892098500626e-16
evaluation,ridge,True,1520,ridge::H,ridge::H_D_B_M_P_C_A_K,0.6606312282641579,0.6996118363178069,-0.03898060805364903,-0.038980608053649085,8.881784197001252e-16
evaluation,ridge,False,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,0.6856435498450167,0.7091109661737248,-0.023467416328708243,-0.02346741632870824,8.881784197001252e-16
evaluation,hgb,True,1520,hgb::H,hgb::H_D_B_M_P_C_A_K,0.6606404546592651,0.6706261922429021,-0.009985737583636852,-0.009985737583636873,5.551115123125783e-16
evaluation,hgb,False,1520,hgb::NONE,hgb::D_B_M_P_C_A_K,0.6856435498450167,0.7128053035773783,-0.027161753732361685,-0.027161753732361637,8.881784197001252e-16
evaluation_person_disjoint,ridge,True,879,ridge::H,ridge::H_D_B_M_P_C_A_K,0.6793135238751269,0.741898327703556,-0.06258480382842914,-0.06258480382842915,4.440892098500626e-16
evaluation_person_disjoint,ridge,False,879,ridge::NONE,ridge::D_B_M_P_C_A_K,0.6919851207085788,0.7509592407973831,-0.05897412008880453,-0.05897412008880447,8.881784197001252e-16
evaluation_person_disjoint,hgb,True,879,hgb::H,hgb::H_D_B_M_P_C_A_K,0.6792772451151128,0.7084621120462871,-0.02918486693117424,-0.029184866931174218,5.551115123125783e-16
evaluation_person_disjoint,hgb,False,879,hgb::NONE,hgb::D_B_M_P_C_A_K,0.6919851207085788,0.7555855242403561,-0.06360040353177737,-0.06360040353177737,8.881784197001252e-16
