algorithm,has_history,block,block_label,reference_model,full_model,phase,domain,n,shapley_log_loss_reduction,paired_percentile95_low,paired_percentile95_high,joint_basic95_low,joint_basic95_high,joint95_sign,bootstrap_se,joint_critical_absolute_log_loss,family_size,bootstrap_reps,development_oof_attribution,evaluation_minus_development_attribution,development_evaluation_point_sign_flip,status
ridge,True,D,인구통계 정보,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.041575302013747595,-0.057648743597534365,-0.026466420895277357,-0.064310822553198,-0.018839781474297178,negative,0.008003080438397429,0.022735520539450417,56,2000,0.01760719444082086,-0.05918249645456845,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,B,소비서비스 생활 개선 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.0031747703784764728,-0.0007932349666390479,0.007107888330811244,-0.019560750160973944,0.02591029091792689,not_resolved,0.002001683897172591,0.022735520539450417,56,2000,0.0029248912157428322,0.0002498791627336405,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0025013775831300993,-0.0033955624488422732,-0.0016563915339146682,-0.025236898122580516,0.020234142956320318,not_resolved,0.00044348095564835705,0.022735520539450417,56,2000,3.7941810576309796e-05,-0.002539319393706409,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,P,추천서비스 제공자 책무 기대,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.0016256236238017302,-0.003563334608654225,0.0003138469025489982,-0.024361144163252146,0.02110989691564869,not_resolved,0.0009795623375707496,0.022735520539450417,56,2000,0.00012553837908756767,-0.0017511620028892979,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,C,개인정보 수집 동의 반응,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,4.580384431554271e-05,-0.0008432563136933353,0.0008876664788690659,-0.022689716695134875,0.02278132438376596,not_resolved,0.00043904479690886716,0.022735520539450417,56,2000,-0.000933852784002543,0.0009796566283180857,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,A,생성형 AI 이용 경험,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,-0.015856215537623536,-0.022033667167324703,-0.010194666539860318,-0.03859173607707395,0.006879305001826881,not_resolved,0.0030641744383452657,0.022735520539450417,56,2000,0.0019615370498411327,-0.01781775258746467,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,True,K,공통 디지털 역량 11문항,ridge::H,ridge::H_D_B_M_P_C_A_K,evaluation,whole,1520,0.01935733648186186,0.012646851517937647,0.026001597825377556,-0.0033781840575885583,0.042092857021312276,not_resolved,0.0034238357964308124,0.022735520539450417,56,2000,0.009635884210776852,0.009721452271085007,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,D,인구통계 정보,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.032615273591727105,-0.0469984270031825,-0.018012085149052667,-0.05535079413117752,-0.009879753052276688,negative,0.007608097343779927,0.022735520539450417,56,2000,0.017585198544742827,-0.05020047213646993,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,B,소비서비스 생활 개선 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,0.006416663040912128,0.0012381359000342366,0.011727966156891813,-0.01631885749853829,0.029152183580362544,not_resolved,0.0027032271555943762,0.022735520539450417,56,2000,0.00529450478922441,0.0011221582516877182,False,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,M,온라인 쇼핑몰 개인정보 관리 평가,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,0.0008373494682331976,0.0005765619521280914,0.0011086023726296775,-0.02189817107121722,0.023572870007683613,not_resolved,0.0001367245931107853,0.022735520539450417,56,2000,-0.00015950740352419266,0.0009968568717573902,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
ridge,False,P,추천서비스 제공자 책무 기대,ridge::NONE,ridge::D_B_M_P_C_A_K,evaluation,whole,1520,-0.002398789481834352,-0.004389863966115182,-0.0004447415703687449,-0.02513431002128477,0.020336731057616065,not_resolved,0.0009832064979730943,0.022735520539450417,56,2000,0.00020542027730293433,-0.0026042097591372866,True,retrospective exploratory diagnostic; fixed predictions; selection and training uncertainty excluded
