algorithm,history_available,domain,illustrative_delta,minimum_budget,passing_budgets,status
hgb,False,disjoint,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,disjoint,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,disjoint,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,disjoint,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,disjoint,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,disjoint,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,whole,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,whole,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,whole,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,whole,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,whole,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,False,whole,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,disjoint,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,disjoint,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,disjoint,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,disjoint,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,disjoint,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,disjoint,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,whole,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,whole,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,whole,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,whole,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,whole,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
hgb,True,whole,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,disjoint,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,disjoint,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,disjoint,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,disjoint,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,disjoint,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,disjoint,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,whole,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,whole,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,whole,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,whole,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,whole,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,False,whole,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,disjoint,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,disjoint,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,disjoint,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,disjoint,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,disjoint,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,disjoint,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,whole,0.0025,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,whole,0.005,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,whole,0.01,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,whole,0.02,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,whole,0.03,,0,retrospective sensitivity; not a calibrated business tolerance
ridge,True,whole,0.05,,0,retrospective sensitivity; not a calibrated business tolerance
