policy_id,algorithm,availability,budget,selected_subset,selected_additional_items,development_oof_log_loss,nested_log_loss_mean,nested_log_loss_repeat_min,nested_log_loss_repeat_max,nested_minus_non_nested_log_loss,nested_benchmark_log_loss_mean,nested_delta_benchmark,nested_roc_auc_mean,nested_brier_mean,selection_unique_subsets,selection_modal_subset,selection_modal_count_out_of10,selection_matches_final_count_out_of10,selection_uses_history_count_out_of10,selection_actual_items_mean
ridge|history_available|budget=00,ridge,history_available,0,P0,0,0.6620828063230408,0.6628568323819621,0.6623184478638604,0.6633952169000639,0.0007740260589212955,0.6627547004653838,0.00010213191657837406,0.5915909090909091,0.2350392942592091,2,P0,6,6,10,0.0
ridge|history_available|budget=01,ridge,history_available,1,H_B,1,0.6578158495921907,0.6595493617123865,0.6585964948814591,0.660502228543314,0.0017335121201957904,0.6627547004653838,-0.003205338752997222,0.6224361313868613,0.2334267748767899,2,H_B,8,8,10,1.0
ridge|history_available|budget=02,ridge,history_available,2,H_B_A,2,0.6557119973590803,0.6556732049901687,0.6552299609639082,0.6561164490164292,-3.879236891157767e-05,0.6627547004653838,-0.007081495475215083,0.6332378069011281,0.2316518010423386,1,H_B_A,10,10,10,2.0
ridge|history_available|budget=03,ridge,history_available,3,H_B_A,2,0.6557119973590803,0.6566799822198996,0.6563321797081771,0.6570277847316222,0.0009679848608193931,0.6627547004653838,-0.006074718245484112,0.63344600199071,0.2321111532690488,2,H_B_A,8,8,10,2.2
ridge|history_available|budget=04,ridge,history_available,4,H_D,4,0.6396754472363618,0.6414314027887167,0.6404517356879188,0.6424110698895147,0.0017559555523548598,0.6627547004653838,-0.021323297676667075,0.669346798274718,0.2247252682089597,1,H_D,10,10,10,4.0
ridge|history_available|budget=05,ridge,history_available,5,H_D_B,5,0.6379948075675399,0.6403630193451206,0.6396702452561702,0.6410557934340709,0.002368211777580731,0.6627547004653838,-0.02239168112026313,0.672638105507631,0.22405860111671352,2,H_D_B,7,7,10,5.0
ridge|history_available|budget=06,ridge,history_available,6,H_D_B_A,6,0.6362755316368176,0.6377763898921994,0.6376682266063866,0.6378845531780123,0.0015008582553818206,0.6627547004653838,-0.024978310573184337,0.6768107166556072,0.22295561127485108,3,H_D_B_A,8,8,10,5.9
ridge|history_available|budget=07,ridge,history_available,7,H_D_B_M_A,7,0.6362310759849575,0.6388423066258457,0.6380289405429536,0.6396556727087379,0.002611230640888196,0.6627547004653838,-0.023912393839538026,0.6755619608493696,0.2233875345315423,4,H_D_B_A,5,2,10,6.3
ridge|history_available|budget=08,ridge,history_available,8,H_D_B_M_A,7,0.6362310759849575,0.6390591988108625,0.638462724912987,0.6396556727087379,0.002828122825904944,0.6627547004653838,-0.023695501654521278,0.6750381552753815,0.22349556988854877,5,H_D_B_A,5,2,10,6.4
ridge|history_available|budget=09,ridge,history_available,9,H_D_B_M_A,7,0.6362310759849575,0.6390591988108625,0.638462724912987,0.6396556727087379,0.002828122825904944,0.6627547004653838,-0.023695501654521278,0.6750381552753815,0.22349556988854877,5,H_D_B_A,5,2,10,6.4
ridge|history_available|budget=10,ridge,history_available,10,H_D_B_M_A,7,0.6362310759849575,0.6390591988108625,0.638462724912987,0.6396556727087379,0.002828122825904944,0.6627547004653838,-0.023695501654521278,0.6750381552753815,0.22349556988854877,5,H_D_B_A,5,2,10,6.4
ridge|history_available|budget=11,ridge,history_available,11,H_D_B_M_A,7,0.6362310759849575,0.6390591988108625,0.638462724912987,0.6396556727087379,0.002828122825904944,0.6627547004653838,-0.023695501654521278,0.6750381552753815,0.22349556988854877,5,H_D_B_A,5,2,10,6.4
ridge|history_available|budget=12,ridge,history_available,12,H_D_B_M_A,7,0.6362310759849575,0.6390591988108625,0.638462724912987,0.6396556727087379,0.002828122825904944,0.6627547004653838,-0.023695501654521278,0.6750381552753815,0.22349556988854877,5,H_D_B_A,5,2,10,6.4
ridge|history_available|budget=13,ridge,history_available,13,H_D_B_M_A,7,0.6362310759849575,0.6435960830909944,0.6396556727087379,0.6475364934732509,0.007365007106036825,0.6627547004653838,-0.019158617374389397,0.6669367949568679,0.22563379566618819,6,H_D_B_A,3,2,10,7.8
ridge|history_available|budget=14,ridge,history_available,14,H_D_B_M_A,7,0.6362310759849575,0.6435859945719113,0.6396556727087379,0.6475163164350848,0.007354918586953807,0.6627547004653838,-0.019168705893472415,0.6669853185136032,0.2256344140329026,7,H_D_B_A,3,2,10,7.9
ridge|history_available|budget=15,ridge,history_available,15,H_D_K,15,0.633478707878488,0.6407846622016817,0.6386853296801516,0.6428839947232119,0.007305954323193697,0.6627547004653838,-0.02197003826370203,0.6723486230922362,0.22443862128651537,3,H_D_K,8,8,10,13.5
ridge|history_available|budget=16,ridge,history_available,16,H_D_A_K,16,0.6316089221778484,0.6376996294392088,0.6371076536463963,0.6382916052320212,0.006090707261360406,0.6627547004653838,-0.02505507102617499,0.6787122594558725,0.2230252050837931,3,H_D_A_K,5,5,10,15.1
ridge|history_available|budget=17,ridge,history_available,17,H_D_B_A_K,17,0.6303176464587247,0.6342877261650379,0.6326957437233152,0.6358797086067606,0.003970079706313245,0.6627547004653838,-0.028466974300345838,0.6841236728599868,0.2214931826570073,3,H_D_B_A_K,8,8,10,16.9
ridge|history_available|budget=18,ridge,history_available,18,H_D_B_M_A_K,18,0.6297690531788611,0.6344297027755487,0.6336579947154071,0.6352014108356903,0.004660649596687549,0.6627547004653838,-0.028324997689835096,0.6840946416721965,0.22155570633964522,3,H_D_B_A_K,6,3,10,17.2
