policy_id,repeat,outer_fold,algorithm,availability,budget,log_loss,n
ridge|history_available|budget=00,1,1,ridge,history_available,0,0.644235910336318,313
ridge|history_available|budget=01,1,1,ridge,history_available,1,0.6407555295274003,313
ridge|history_available|budget=02,1,1,ridge,history_available,2,0.6399624552333022,313
ridge|history_available|budget=03,1,1,ridge,history_available,3,0.6399624552333022,313
ridge|history_available|budget=04,1,1,ridge,history_available,4,0.6425244389803018,313
ridge|history_available|budget=05,1,1,ridge,history_available,5,0.63901143998661,313
ridge|history_available|budget=06,1,1,ridge,history_available,6,0.6366854298061174,313
ridge|history_available|budget=07,1,1,ridge,history_available,7,0.6402799129956857,313
ridge|history_available|budget=08,1,1,ridge,history_available,8,0.6402799129956857,313
ridge|history_available|budget=09,1,1,ridge,history_available,9,0.6402799129956857,313
ridge|history_available|budget=10,1,1,ridge,history_available,10,0.6402799129956857,313
ridge|history_available|budget=11,1,1,ridge,history_available,11,0.6402799129956857,313
ridge|history_available|budget=12,1,1,ridge,history_available,12,0.6402799129956857,313
ridge|history_available|budget=13,1,1,ridge,history_available,13,0.6402799129956857,313
ridge|history_available|budget=14,1,1,ridge,history_available,14,0.6402799129956857,313
ridge|history_available|budget=15,1,1,ridge,history_available,15,0.6402799129956857,313
ridge|history_available|budget=16,1,1,ridge,history_available,16,0.6402799129956857,313
ridge|history_available|budget=17,1,1,ridge,history_available,17,0.6259696067452475,313
ridge|history_available|budget=18,1,1,ridge,history_available,18,0.6307808617057062,313
ridge|history_available|budget=19,1,1,ridge,history_available,19,0.6307808617057062,313
ridge|history_available|budget=20,1,1,ridge,history_available,20,0.6307808617057062,313
ridge|history_available|budget=21,1,1,ridge,history_available,21,0.6307808617057062,313
ridge|history_available|budget=22,1,1,ridge,history_available,22,0.6307808617057062,313
ridge|history_available|budget=23,1,1,ridge,history_available,23,0.6307808617057062,313
ridge|history_available|budget=24,1,1,ridge,history_available,24,0.6307808617057062,313
ridge|history_available|budget=25,1,1,ridge,history_available,25,0.6307808617057062,313
ridge|history_available|budget=26,1,1,ridge,history_available,26,0.6307808617057062,313
ridge|history_available|budget=27,1,1,ridge,history_available,27,0.6307808617057062,313
ridge|history_available|budget=28,1,1,ridge,history_available,28,0.6307808617057062,313
ridge|history_available|budget=29,1,1,ridge,history_available,29,0.6272983015037237,313
ridge|history_available|budget=30,1,1,ridge,history_available,30,0.6272983015037237,313
ridge|history_unavailable|budget=00,1,1,ridge,history_unavailable,0,0.6853643289188565,313
ridge|history_unavailable|budget=01,1,1,ridge,history_unavailable,1,0.6772784347748604,313
ridge|history_unavailable|budget=02,1,1,ridge,history_unavailable,2,0.6745351760219055,313
ridge|history_unavailable|budget=03,1,1,ridge,history_unavailable,3,0.6745351760219055,313
ridge|history_unavailable|budget=04,1,1,ridge,history_unavailable,4,0.673902536170268,313
ridge|history_unavailable|budget=05,1,1,ridge,history_unavailable,5,0.6672861502141354,313
ridge|history_unavailable|budget=06,1,1,ridge,history_unavailable,6,0.6634565320794862,313
ridge|history_unavailable|budget=07,1,1,ridge,history_unavailable,7,0.6634565320794862,313
ridge|history_unavailable|budget=08,1,1,ridge,history_unavailable,8,0.6634565320794862,313
ridge|history_unavailable|budget=09,1,1,ridge,history_unavailable,9,0.6634565320794862,313
ridge|history_unavailable|budget=10,1,1,ridge,history_unavailable,10,0.6634565320794862,313
ridge|history_unavailable|budget=11,1,1,ridge,history_unavailable,11,0.6634565320794862,313
ridge|history_unavailable|budget=12,1,1,ridge,history_unavailable,12,0.6634565320794862,313
ridge|history_unavailable|budget=13,1,1,ridge,history_unavailable,13,0.6634565320794862,313
ridge|history_unavailable|budget=14,1,1,ridge,history_unavailable,14,0.6634565320794862,313
ridge|history_unavailable|budget=15,1,1,ridge,history_unavailable,15,0.6634565320794862,313
ridge|history_unavailable|budget=16,1,1,ridge,history_unavailable,16,0.6523178594691832,313
ridge|history_unavailable|budget=17,1,1,ridge,history_unavailable,17,0.6480318358303767,313
ridge|history_unavailable|budget=18,1,1,ridge,history_unavailable,18,0.6514987236770491,313
ridge|history_unavailable|budget=19,1,1,ridge,history_unavailable,19,0.6514987236770491,313
ridge|history_unavailable|budget=20,1,1,ridge,history_unavailable,20,0.6514987236770491,313
ridge|history_unavailable|budget=21,1,1,ridge,history_unavailable,21,0.6514987236770491,313
ridge|history_unavailable|budget=22,1,1,ridge,history_unavailable,22,0.6514987236770491,313
ridge|history_unavailable|budget=23,1,1,ridge,history_unavailable,23,0.6514987236770491,313
ridge|history_unavailable|budget=24,1,1,ridge,history_unavailable,24,0.6514987236770491,313
ridge|history_unavailable|budget=25,1,1,ridge,history_unavailable,25,0.6514987236770491,313
ridge|history_unavailable|budget=26,1,1,ridge,history_unavailable,26,0.6514987236770491,313
ridge|history_unavailable|budget=27,1,1,ridge,history_unavailable,27,0.6514987236770491,313
ridge|history_unavailable|budget=28,1,1,ridge,history_unavailable,28,0.6440118230593274,313
ridge|history_unavailable|budget=29,1,1,ridge,history_unavailable,29,0.6473976844293199,313
ridge|history_unavailable|budget=30,1,1,ridge,history_unavailable,30,0.6473976844293199,313
hgb|history_available|budget=00,1,1,hgb,history_available,0,0.643598638948594,313
hgb|history_available|budget=01,1,1,hgb,history_available,1,0.6368499867150724,313
hgb|history_available|budget=02,1,1,hgb,history_available,2,0.6339027790515118,313
hgb|history_available|budget=03,1,1,hgb,history_available,3,0.6327644513329362,313
hgb|history_available|budget=04,1,1,hgb,history_available,4,0.6315991662599122,313
hgb|history_available|budget=05,1,1,hgb,history_available,5,0.6273884571973288,313
hgb|history_available|budget=06,1,1,hgb,history_available,6,0.6204443180908887,313
hgb|history_available|budget=07,1,1,hgb,history_available,7,0.6186498144526071,313
hgb|history_available|budget=08,1,1,hgb,history_available,8,0.6186498144526071,313
hgb|history_available|budget=09,1,1,hgb,history_available,9,0.6186498144526071,313
hgb|history_available|budget=10,1,1,hgb,history_available,10,0.6186498144526071,313
hgb|history_available|budget=11,1,1,hgb,history_available,11,0.6186498144526071,313
hgb|history_available|budget=12,1,1,hgb,history_available,12,0.6186498144526071,313
hgb|history_available|budget=13,1,1,hgb,history_available,13,0.6186498144526071,313
hgb|history_available|budget=14,1,1,hgb,history_available,14,0.6186498144526071,313
hgb|history_available|budget=15,1,1,hgb,history_available,15,0.6186498144526071,313
hgb|history_available|budget=16,1,1,hgb,history_available,16,0.6087634877284959,313
hgb|history_available|budget=17,1,1,hgb,history_available,17,0.6087466984016418,313
