policy_id,algorithm,availability,budget,subset,count,denominator
ridge|history_available|budget=00,ridge,history_available,0,P0,6,10
ridge|history_available|budget=00,ridge,history_available,0,H,4,10
ridge|history_available|budget=01,ridge,history_available,1,H_B,8,10
ridge|history_available|budget=01,ridge,history_available,1,H_A,2,10
ridge|history_available|budget=02,ridge,history_available,2,H_B_A,10,10
ridge|history_available|budget=03,ridge,history_available,3,H_B_A,8,10
ridge|history_available|budget=03,ridge,history_available,3,H_B_C_A,2,10
ridge|history_available|budget=04,ridge,history_available,4,H_D,10,10
ridge|history_available|budget=05,ridge,history_available,5,H_D_B,7,10
ridge|history_available|budget=05,ridge,history_available,5,H_D_A,3,10
ridge|history_available|budget=06,ridge,history_available,6,H_D_B_A,8,10
ridge|history_available|budget=06,ridge,history_available,6,H_D_A,1,10
ridge|history_available|budget=06,ridge,history_available,6,H_D_B_M,1,10
ridge|history_available|budget=07,ridge,history_available,7,H_D_B_A,5,10
ridge|history_available|budget=07,ridge,history_available,7,H_D_B_M_A,2,10
ridge|history_available|budget=07,ridge,history_available,7,H_D_B_C_A,2,10
ridge|history_available|budget=07,ridge,history_available,7,H_D_A,1,10
ridge|history_available|budget=08,ridge,history_available,8,H_D_B_A,5,10
ridge|history_available|budget=08,ridge,history_available,8,H_D_B_M_A,2,10
ridge|history_available|budget=08,ridge,history_available,8,H_D_B_C_A,1,10
ridge|history_available|budget=08,ridge,history_available,8,H_D_A,1,10
ridge|history_available|budget=08,ridge,history_available,8,H_D_B_M_C_A,1,10
ridge|history_available|budget=09,ridge,history_available,9,H_D_B_A,5,10
ridge|history_available|budget=09,ridge,history_available,9,H_D_B_M_A,2,10
ridge|history_available|budget=09,ridge,history_available,9,H_D_B_C_A,1,10
ridge|history_available|budget=09,ridge,history_available,9,H_D_A,1,10
ridge|history_available|budget=09,ridge,history_available,9,H_D_B_M_C_A,1,10
ridge|history_available|budget=10,ridge,history_available,10,H_D_B_A,5,10
ridge|history_available|budget=10,ridge,history_available,10,H_D_B_M_A,2,10
ridge|history_available|budget=10,ridge,history_available,10,H_D_B_C_A,1,10
ridge|history_available|budget=10,ridge,history_available,10,H_D_A,1,10
ridge|history_available|budget=10,ridge,history_available,10,H_D_B_M_C_A,1,10
ridge|history_available|budget=11,ridge,history_available,11,H_D_B_A,5,10
ridge|history_available|budget=11,ridge,history_available,11,H_D_B_M_A,2,10
ridge|history_available|budget=11,ridge,history_available,11,H_D_B_C_A,1,10
ridge|history_available|budget=11,ridge,history_available,11,H_D_A,1,10
ridge|history_available|budget=11,ridge,history_available,11,H_D_B_M_C_A,1,10
ridge|history_available|budget=12,ridge,history_available,12,H_D_B_A,5,10
ridge|history_available|budget=12,ridge,history_available,12,H_D_B_M_A,2,10
ridge|history_available|budget=12,ridge,history_available,12,H_D_B_C_A,1,10
ridge|history_available|budget=12,ridge,history_available,12,H_D_A,1,10
ridge|history_available|budget=12,ridge,history_available,12,H_D_B_M_C_A,1,10
ridge|history_available|budget=13,ridge,history_available,13,H_D_B_A,3,10
ridge|history_available|budget=13,ridge,history_available,13,H_D_B_M_A,2,10
ridge|history_available|budget=13,ridge,history_available,13,H_B_A_K,2,10
ridge|history_available|budget=13,ridge,history_available,13,H_D_B_C_A,1,10
ridge|history_available|budget=13,ridge,history_available,13,H_D_A,1,10
