policy_id,algorithm,availability,budget,history_available,selected_subset,source_model,chosen_model,chosen_subset,chosen_config,uses_history,selected_additional_items,selected_items,development_oof_log_loss,selected_config_json,blocks_json,domain,n,baseline,full,family_contrasts,standardized_critical_value,delta_vs_full,bootstrap_se_vs_full,primary_upper95_vs_full,standardized_upper95_vs_full,delta_vs_benchmark,bootstrap_se_vs_benchmark,primary_upper95_vs_benchmark,standardized_upper95_vs_benchmark,primary_superior_to_benchmark,standardized_superior_to_benchmark,primary_noninferior_margin_0.01,standardized_noninferior_margin_0.01,primary_dual_pass_margin_0.01,standardized_dual_pass_margin_0.01,status
ridge|history_unavailable|budget=00,ridge,history_unavailable,0,False,NONE,ridge::NONE,ridge::NONE,NONE,0.001,False,0,0,0.6853643289188563,0.001,[],whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,-0.02346741632869842,0.011054424953440644,-0.0003423611843739,0.005349342753993961,0.0,0.0,0.0,0.0,False,False,True,True,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=01,ridge,history_unavailable,1,False,B,ridge::B,ridge::B,B,0.1,False,1,1,0.6777381954029948,0.1,"[""B""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,-0.0316711721471814,0.010174815228550975,-0.0085461170028569,-0.0051473863883569095,-0.008203755818482983,0.0032422692333455025,0.0149212993258414,0.0002482162897054982,False,False,True,True,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=02,ridge,history_unavailable,2,False,B_A,ridge::B_A,ridge::B_A,B_A,0.1,False,2,2,0.6736656514353723,0.1,"[""B"", ""A""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,-0.01946810853291736,0.008602885534543586,0.003656946611407,0.0029579589386214133,0.00399930779578106,0.005414805425124162,0.0271243629401054,0.018114663779711528,False,False,True,True,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=03,ridge,history_unavailable,3,False,B_C_A,ridge::B_C_A,ridge::B_C_A,B_C_A,0.1,False,3,3,0.6735209745197117,0.1,"[""B"", ""C"", ""A""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,-0.01969787210042584,0.008511371672728234,0.0034271830438985,0.0024896363397958893,0.003769544228272581,0.005590785564260851,0.026894599372597,0.018343646577952472,False,False,True,True,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=04,ridge,history_unavailable,4,False,D,ridge::D,ridge::D,D,1.0,False,4,4,0.6621656516928427,1.0,"[""D""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,0.0015501640250100701,0.005988456818122667,0.0246752191693345,0.01716091882517147,0.02501758035370849,0.007864672637809855,0.0481426354980329,0.04551926882891681,False,False,False,False,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=05,ridge,history_unavailable,5,False,D_B,ridge::D_B,ridge::D_B,D_B,1.0,False,5,5,0.6582120307239033,1.0,"[""D"", ""B""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,-0.00813060994130077,0.005204117695459641,0.0149944452030236,0.005435523665799299,0.01533680638739765,0.008433744070039753,0.038461861531722,0.03732195460225599,False,False,False,True,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=06,ridge,history_unavailable,6,False,D_B_A,ridge::D_B_A,ridge::D_B_A,D_B_A,1.0,False,6,6,0.6545563941969289,1.0,"[""D"", ""B"", ""A""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,0.011916375111418631,0.0038616817939663853,0.035041430255743,0.021983036595796687,0.03538379144011705,0.010673211288085358,0.0585088465844414,0.06320679983927394,False,False,False,False,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=07,ridge,history_unavailable,7,False,D_B_A,ridge::D_B_A,ridge::D_B_A,D_B_A,1.0,False,6,6,0.6545563941969289,1.0,"[""D"", ""B"", ""A""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,0.011916375111418631,0.0038616817939663853,0.035041430255743,0.021983036595796687,0.03538379144011705,0.010673211288085358,0.0585088465844414,0.06320679983927394,False,False,False,False,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=08,ridge,history_unavailable,8,False,D_B_A,ridge::D_B_A,ridge::D_B_A,D_B_A,1.0,False,6,6,0.6545563941969289,1.0,"[""D"", ""B"", ""A""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,0.011916375111418631,0.0038616817939663853,0.035041430255743,0.021983036595796687,0.03538379144011705,0.010673211288085358,0.0585088465844414,0.06320679983927394,False,False,False,False,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
ridge|history_unavailable|budget=09,ridge,history_unavailable,9,False,D_B_A,ridge::D_B_A,ridge::D_B_A,D_B_A,1.0,False,6,6,0.6545563941969289,1.0,"[""D"", ""B"", ""A""]",whole,1520,ridge::NONE,ridge::D_B_M_P_C_A_K,21,2.606807609085381,0.011916375111418631,0.0038616817939663853,0.035041430255743,0.021983036595796687,0.03538379144011705,0.010673211288085358,0.0585088465844414,0.06320679983927394,False,False,False,False,False,False,post-primary retrospective sensitivity; retain primary result; fixed fitted predictions
