target,domain,algorithm,availability,policies,n,events,event_rate,superiority_policy_count,superiority_unique_model_count,superiority_budgets,superiority_models,min_log_loss,max_log_loss,min_roc_auc,max_roc_auc,min_delta_vs_baseline,min_joint_upper95_vs_baseline,family_unique_contrasts,joint_critical_value
monthly,disjoint,hgb,history_available,31,879,326,0.3708759954493743,0,0,[],[],0.645462443779969,0.7032944882406597,0.5283423379447297,0.6294500715561522,-0.014619269800401,0.0087300289724205,29,0.0233492987728216
monthly,disjoint,hgb,history_unavailable,31,879,326,0.3708759954493743,0,0,[],[],0.663888994267988,0.7287618224576828,0.5,0.5858895705521473,-0.002946075686226,0.0,23,0.0254106693692096
monthly,disjoint,ridge,history_available,31,879,326,0.3708759954493743,0,0,[],[],0.6494329466908221,0.6986221373133102,0.5345383241438224,0.6142540964510367,-0.0106487668895481,0.0124361129686436,20,0.0230848798581918
monthly,disjoint,ridge,history_unavailable,31,879,326,0.3708759954493743,0,0,[],[],0.6588299054272841,0.7087137449800148,0.4764669011193823,0.5821453532877001,-0.0080051645269302,0.0,19,0.0248158269750987
monthly,whole,hgb,history_available,31,1520,594,0.3907894736842105,1,1,[16],['hgb::H_D_B_K'],0.6397007249175615,0.6856541558486087,0.5524821650631585,0.6590372770178387,-0.0193890036919857,-0.0019211780097919,29,0.0174678256821937
monthly,whole,hgb,history_unavailable,31,1520,594,0.3907894736842105,0,0,[],[],0.6557392152804669,0.7073885644245267,0.5,0.6229965239144506,-0.0166468052680739,0.0,23,0.0188780121592606
monthly,whole,ridge,history_available,31,1520,594,0.3907894736842105,1,1,[15],['ridge::H_D_K'],0.6391747523501157,0.6849988343616684,0.5563763989789907,0.6544167375700852,-0.0199149762594319,-0.0023449886237971,20,0.0175699876356347
monthly,whole,ridge,history_unavailable,31,1520,594,0.3907894736842105,1,1,[15],['ridge::D_K'],0.6473487190138392,0.6963022527318284,0.4889717913476012,0.6298096152307815,-0.025037301534701,-0.0062425672250504,19,0.0187947343096506
regular,disjoint,hgb,history_available,31,879,171,0.1945392491467577,0,0,[],[],0.4913027197383252,0.5509113218295636,0.511997389896587,0.5596359070935342,1.1830798480993998e-05,0.0245162174872236,22,0.0245043866887426
regular,disjoint,hgb,history_unavailable,31,879,171,0.1945392491467577,0,0,[],[],0.49278318589663,0.5612021557245825,0.4860037334390589,0.5697128886245746,0.0,0.0,23,0.025345071979666
regular,disjoint,ridge,history_available,31,879,171,0.1945392491467577,0,0,[],[],0.49064236776274,0.5587260921668803,0.5133478706181649,0.5725129679188554,-0.0006485211770975,0.0252168287847686,20,0.0258653499618661
regular,disjoint,ridge,history_unavailable,31,879,171,0.1945392491467577,0,0,[],[],0.49278318589663,0.5567195413354133,0.4898073809759804,0.5672845012720125,0.0,0.0,21,0.0265997299921267
regular,whole,hgb,history_available,31,1520,292,0.1921052631578947,0,0,[],[],0.4815072912278388,0.5285708258979558,0.5543315782428272,0.6168497055017624,-3.035455038713497e-05,0.0174803125966294,22,0.0175106671470166
regular,whole,hgb,history_unavailable,31,1520,292,0.1921052631578947,0,0,[],[],0.4891969308606471,0.5405918431002426,0.5,0.6024566619070991,-6.974754365046687e-05,0.0,23,0.0183686895045882
regular,whole,ridge,history_available,31,1520,292,0.1921052631578947,0,0,[],[],0.4827939309794042,0.5391653219194957,0.5529901610816117,0.6152098857703806,0.0012562852011747,0.0204076063721026,20,0.0191513211709278
regular,whole,ridge,history_unavailable,31,1520,292,0.1921052631578947,0,0,[],[],0.4892666784043059,0.5396774026470554,0.5,0.6002995180937933,0.0,0.0,21,0.0197663451866079
