target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
monthly,ridge,H,0.001,0.6776147623144768,0.6776147623144769,0.0010855448934580716
monthly,ridge,H,0.01,0.6704272422577383,0.6704272422577383,0.004214971401004536
monthly,ridge,H,0.1,0.669891877603961,0.669891877603961,0.005854185265160294
monthly,ridge,H,1.0,0.6699352847021528,0.6699352847021528,0.0060919991923183816
monthly,ridge,H,10.0,0.6699416147189476,0.6699416147189476,0.006116858494588808
monthly,ridge,H_D,0.001,0.6742156258627364,0.6742156258627363,0.0008226672329840391
monthly,ridge,H_D,0.01,0.6557314414225943,0.6557314414225944,0.0032234711117251577
monthly,ridge,H_D,0.1,0.6444425682898658,0.6444425682898658,0.006726255692921304
monthly,ridge,H_D,1.0,0.6458970906996319,0.6458970906996319,0.010130513623642666
monthly,ridge,H_D,10.0,0.6491181624331167,0.6491181624331168,0.011263606945961954
monthly,ridge,H_B,0.001,0.6753261659982502,0.6753261659982502,0.001243062368287958
monthly,ridge,H_B,0.01,0.6667366464662993,0.6667366464662992,0.004817261334097367
monthly,ridge,H_B,0.1,0.6663256974450219,0.6663256974450219,0.006586786730724796
monthly,ridge,H_B,1.0,0.6664006319530509,0.6664006319530508,0.006837419808492139
monthly,ridge,H_B,10.0,0.6664101097516685,0.6664101097516685,0.0068635502791053165
monthly,ridge,H_D_B,0.001,0.672026928748075,0.6720269287480749,0.0010886252353860082
monthly,ridge,H_D_B,0.01,0.652878818005485,0.6528788180054851,0.004510272033136346
monthly,ridge,H_D_B,0.1,0.6427607667307733,0.6427607667307733,0.008897270390522563
monthly,ridge,H_D_B,1.0,0.6448517687060248,0.6448517687060248,0.012280411357179428
monthly,ridge,H_D_B,10.0,0.6481730006412881,0.6481730006412881,0.01339975460285747
monthly,ridge,H_M,0.001,0.6776173340424417,0.6776173340424417,0.001114083105019292
monthly,ridge,H_M,0.01,0.6708900544426899,0.6708900544426898,0.004279272998850726
monthly,ridge,H_M,0.1,0.6706186892392774,0.6706186892392771,0.005911368841850864
monthly,ridge,H_M,1.0,0.670700188948571,0.670700188948571,0.006146669218898212
monthly,ridge,H_M,10.0,0.6707102285163157,0.6707102285163157,0.006171279349812254
monthly,ridge,H_D_M,0.001,0.674228257926136,0.6742282579261362,0.0008383566271217064
monthly,ridge,H_D_M,0.01,0.6562952492804269,0.656295249280427,0.00324541711902873
monthly,ridge,H_D_M,0.1,0.645500392064976,0.645500392064976,0.006773320060717768
monthly,ridge,H_D_M,1.0,0.6470682868759692,0.6470682868759693,0.010136785777883942
monthly,ridge,H_D_M,10.0,0.6504901111684717,0.6504901111684716,0.011366449433655678
monthly,ridge,H_B_M,0.001,0.6753650736537548,0.675365073653755,0.0012956271580468266
monthly,ridge,H_B_M,0.01,0.6672750299427721,0.6672750299427723,0.004893142398771852
monthly,ridge,H_B_M,0.1,0.6671045456653181,0.6671045456653178,0.006632413567706352
