target,domain,algorithm,availability,role,source_model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
monthly,whole,ridge,history_available,baseline,P0,1520,594,0.3907894736842105,0.6590897286095373,0.23347435904661715,0.5829079128215198,0.4362024870072966,-0.19354654128930113,1.0774183488883178
monthly,whole,ridge,history_available,full,ridge::H_D_B_M_P_C_A_K,1520,594,0.3907894736842105,0.672733190201634,0.2394679349559547,0.6195604351651868,0.47057542995394736,-0.36087013610970364,0.5341467229004345
monthly,whole,ridge,history_unavailable,baseline,ridge::NONE,1520,594,0.3907894736842105,0.6723860205485396,0.23967065698201265,0.5,0.3907894736842105,,
monthly,whole,ridge,history_unavailable,full,ridge::D_B_M_P_C_A_K,1520,594,0.3907894736842105,0.6790326333908904,0.24259072559817607,0.5984639410665329,0.4686344714448393,-0.35893259377464853,0.4824188545906266
monthly,whole,hgb,history_available,baseline,P0,1520,594,0.3907894736842105,0.6590897286095373,0.23347435904661715,0.5829079128215198,0.4362024870072966,-0.19354654128930113,1.0774183488883178
monthly,whole,hgb,history_available,full,hgb::H_D_B_M_P_C_A_K,1520,594,0.3907894736842105,0.6635366667856973,0.23548231786259435,0.618903215015526,0.48572150560523997,-0.3216880181151608,0.6093800091084524
monthly,whole,hgb,history_unavailable,baseline,hgb::NONE,1520,594,0.3907894736842105,0.6723860205485396,0.23967065698201265,0.5,0.3907894736842105,,
monthly,whole,hgb,history_unavailable,full,hgb::D_B_M_P_C_A_K,1520,594,0.3907894736842105,0.6776921484525363,0.24120394834011996,0.5876884394702968,0.4782992583415156,-0.33680504347001045,0.4639975925432127
monthly,disjoint,ridge,history_available,baseline,P0,879,326,0.3708759954493743,0.6600817135803692,0.2339477591856433,0.5675290384850065,0.4063509668317139,-0.32567849448038344,0.8776564465840844
monthly,disjoint,ridge,history_available,full,ridge::H_D_B_M_P_C_A_K,879,326,0.3708759954493743,0.6880466618024245,0.24727851207072632,0.5726322679417344,0.4139759973155997,-0.43898133545686363,0.3561847501619432
monthly,disjoint,ridge,history_unavailable,baseline,ridge::NONE,879,326,0.3708759954493743,0.6668350699542119,0.23691301513328292,0.5,0.3708759954493743,,
monthly,disjoint,ridge,history_unavailable,full,ridge::D_B_M_P_C_A_K,879,326,0.3708759954493743,0.6953580397765169,0.25056283481436264,0.5506828342892643,0.41162786544664764,-0.451950423894126,0.2737231309622412
monthly,disjoint,hgb,history_available,baseline,P0,879,326,0.3708759954493743,0.6600817135803692,0.2339477591856433,0.5675290384850065,0.4063509668317139,-0.32567849448038344,0.8776564465840844
monthly,disjoint,hgb,history_available,full,hgb::H_D_B_M_P_C_A_K,879,326,0.3708759954493743,0.6805251526697038,0.24342491972817157,0.5672128601382309,0.4181545978383948,-0.4256365157660521,0.3602708353010966
monthly,disjoint,hgb,history_unavailable,baseline,hgb::NONE,879,326,0.3708759954493743,0.6668350699542119,0.23691301513328292,0.5,0.3708759954493743,,
monthly,disjoint,hgb,history_unavailable,full,hgb::D_B_M_P_C_A_K,879,326,0.3708759954493743,0.6949122937086389,0.2489404100834923,0.5322834733023443,0.41021990637811445,-0.4712253552299372,0.17129766910054164
