target,domain,policy_id,algorithm,availability,budget,selected_subset,source_model,uses_history,selected_additional_items,development_oof_log_loss,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope,family_unique_contrasts,joint_critical_value,delta_vs_baseline,joint_upper95_vs_baseline,paired_low95_vs_baseline,paired_high95_vs_baseline,bootstrap_se_vs_baseline,delta_vs_full,joint_upper95_vs_full,paired_low95_vs_full,paired_high95_vs_full,bootstrap_se_vs_full,joint_superior_to_baseline
monthly,whole,ridge|history_available|budget=00,ridge,history_available,0,H,ridge::H,True,0,0.669891877603961,1520,594,0.3907894736842105,0.6590370080025045,0.23343689714676394,0.5829079128215198,0.4362024870072966,-0.1852994347412281,1.1037900095458528,20,0.017569987635634766,-5.272060704397674e-05,0.01751726702859079,-0.0002469689129503405,0.00016874109722102846,0.00010173349213998299,-0.013696182199128715,0.003873805436506051,-0.03107703052723146,0.0031259415630673646,0.008641201320254812,False
monthly,whole,ridge|history_available|budget=01,ridge,history_available,1,H_A,ridge::H_A,True,1,0.6653264522853897,1520,594,0.3907894736842105,0.6831481996720719,0.24531972091346985,0.5563763989789907,0.4182903144332375,-0.3822329116247431,0.45266625486375267,20,0.017569987635634766,0.024058471062521236,0.041628458698156,0.016730996105720684,0.03158532328580459,0.003735504378097012,0.010415009470436498,0.027984997106071264,-0.004031059772112977,0.02474178307307793,0.0072269416365436795,False
monthly,whole,ridge|history_available|budget=04,ridge,history_available,4,H_D,ridge::H_D,True,4,0.6444425682898658,1520,594,0.3907894736842105,0.6563067308368015,0.23271682435732827,0.6186041480317939,0.47178680206010265,-0.29537613281916747,0.741188350895025,20,0.017569987635634766,-0.002782997772745266,0.0147869898628895,-0.013278213284369098,0.008061643988374079,0.005474208888589257,-0.016426459364830004,0.0011435282708047619,-0.027184998642570887,-0.0055015718225695275,0.005493763189979645,False
monthly,whole,ridge|history_available|budget=11,ridge,history_available,11,H_D_B_A,ridge::H_D_B_A,True,6,0.6388268554551306,1520,594,0.3907894736842105,0.6837852129030157,0.2449093049158754,0.5995629440553846,0.4348160671529552,-0.3953916072248689,0.49050630595391886,20,0.017569987635634766,0.024695484293466574,0.042265471929101336,0.01006696962261262,0.04034637595151048,0.007772977406488157,0.011052022701381836,0.028622010337016602,0.0037187570452569484,0.017995610894755067,0.0036224351988873873,False
monthly,whole,ridge|history_available|budget=30,ridge,history_available,30,H_D_B_P_A_K,ridge::H_D_B_P_A_K,True,28,0.6319125986967781,1520,594,0.3907894736842105,0.6703690404524028,0.23848791329335803,0.6221984059457062,0.4751024665704646,-0.3584423536426468,0.5511378867984549,20,0.017569987635634766,0.011279311842854467,0.028849299478489233,-0.0053525703933384626,0.02826108985975323,0.008539812813426634,-0.002364149749230271,0.015205837886404495,-0.004073914518243677,-0.0007840039268014803,0.0008328567523209324,False
monthly,whole,ridge|history_unavailable|budget=00,ridge,history_unavailable,0,NONE,ridge::NONE,False,0,0.6835049913737833,1520,594,0.3907894736842105,0.6723860205485396,0.23967065698201265,0.5,0.3907894736842105,,,19,0.018794734309650656,0.0,0.0,0.0,0.0,0.0,-0.00664661284234902,0.012148121467301636,-0.024948943618955322,0.011589104547371663,0.009339129841909885,False
monthly,whole,ridge|history_unavailable|budget=01,ridge,history_unavailable,1,A,ridge::A,False,1,0.6768594110722397,1520,594,0.3907894736842105,0.6963022527318284,0.25152922678435136,0.48897179134760127,0.38577260190969687,-0.46660942835705266,-0.1464890070381136,19,0.018794734309650656,0.023916232183293196,0.042710966492943855,0.015181198996941866,0.03279976167939594,0.0044907386018272835,0.017269619340944176,0.036064353650594835,0.0021302025947092687,0.03204537095147668,0.007586039437799885,False
monthly,whole,ridge|history_unavailable|budget=04,ridge,history_unavailable,4,D,ridge::D,False,4,0.6568160240143509,1520,594,0.3907894736842105,0.665126417552721,0.23657643984763937,0.5850231981441485,0.45356069108646413,-0.2792768805402848,0.6639310453951359,19,0.018794734309650656,-0.007259602995819847,0.011535131313830809,-0.01836497273967475,0.004427456285402539,0.005719507774883122,-0.013906215838168867,0.004888518471481789,-0.026266783256431878,-0.0015707037039664217,0.006282597970595764,False
monthly,whole,ridge|history_unavailable|budget=11,ridge,history_unavailable,11,D_B_A,ridge::D_B_A,False,6,0.6478313353133246,1520,594,0.3907894736842105,0.6903834059330525,0.248193215839968,0.5745667619317727,0.4257954364769639,-0.39392436698069394,0.40598720133660343,19,0.018794734309650656,0.017997385384511677,0.03679211969416234,0.001809271346596056,0.03484436900941571,0.008503153429308019,0.011350772542162657,0.030145506851813313,0.004105388429845791,0.018688994120790035,0.0038065809580134194,False
monthly,whole,ridge|history_unavailable|budget=30,ridge,history_unavailable,30,D_B_P_A_K,ridge::D_B_P_A_K,False,28,0.6392629600354856,1520,594,0.3907894736842105,0.6775465711736354,0.241864721833265,0.5999038258757482,0.47248756312154316,-0.3548639780082735,0.4918023116451985,19,0.018794734309650656,0.005160550625095572,0.02395528493474623,-0.01251531122746522,0.02347537926766969,0.009264553071500328,-0.0014860622172534477,0.01730867209239721,-0.002940721391395268,1.623604914434824e-05,0.0007697411359459587,False
monthly,whole,hgb|history_available|budget=00,hgb,history_available,0,H,hgb::H,True,0,0.66992805107656,1520,594,0.3907894736842105,0.6590426498845029,0.23345043609704455,0.5829079128215198,0.4362024870072966,-0.19174586589502912,1.0803681969566745,29,0.017467825682193797,-4.707872504872146e-05,0.017420746957145076,-7.974212189814368e-05,-1.0524044518076e-05,1.7440579007763687e-05,-0.004494016901197773,0.012973808780996025,-0.018920667808827892,0.009918170803796214,0.00744871280196642,False
monthly,whole,hgb|history_available|budget=01,hgb,history_available,1,H_B,hgb::H_B,True,1,0.661433159416462,1520,594,0.3907894736842105,0.6546860137671998,0.23226597082003808,0.5824415864912625,0.44024231969158595,-0.2260296970239161,0.891242064654498,29,0.017467825682193797,-0.004403714842345363,0.013064110839848434,-0.01070696351490193,0.0025088994799816002,0.0034412045264883254,-0.008850653018494414,0.008617172663699383,-0.023166166288719453,0.005299535632719314,0.007391947157730703,False
monthly,whole,hgb|history_available|budget=04,hgb,history_available,4,H_D,hgb::H_D,True,4,0.6394616868840016,1520,594,0.3907894736842105,0.6560040796260069,0.23223516030264096,0.6254208754208754,0.4822826319044531,-0.2874252535915893,0.6941981139251056,29,0.017467825682193797,-0.003085648983541911,0.014382176698651886,-0.014854212851285348,0.009728207903883245,0.006254989819463308,-0.007532587159690962,0.009935238522502835,-0.01895559614618076,0.0036788721061500242,0.005892141789539957,False
monthly,whole,hgb|history_available|budget=11,hgb,history_available,11,H_D_B_M_C_A,hgb::H_D_B_M_C_A,True,8,0.6260258136310883,1520,594,0.3907894736842105,0.6840799246814431,0.24546005246682348,0.5921053588440198,0.4246595022381085,-0.37884977205910947,0.4655491655707554,29,0.017467825682193797,0.024990196071893123,0.042458021754086916,0.010386239189339851,0.04062392896024602,0.007812515075941445,0.02054325789574407,0.038011083577937865,0.010342646406236975,0.03210662200816152,0.005476922493902958,False
monthly,whole,hgb|history_available|budget=30,hgb,history_available,30,H_D_B_M_P_C_A_K,hgb::H_D_B_M_P_C_A_K,True,30,0.6219650098551895,1520,594,0.3907894736842105,0.6635366667856973,0.23548231786259435,0.618903215015526,0.48572150560523997,-0.3216880181151608,0.6093800091084524,29,0.017467825682193797,0.004446938176149051,0.02191476385834285,-0.009959704509314105,0.018850332009790187,0.007447335479189859,0.0,0.0,0.0,0.0,0.0,False
monthly,whole,hgb|history_unavailable|budget=00,hgb,history_unavailable,0,NONE,hgb::NONE,False,0,0.6835049913737833,1520,594,0.3907894736842105,0.6723860205485396,0.23967065698201265,0.5,0.3907894736842105,,,23,0.018878012159260625,0.0,0.0,0.0,0.0,0.0,-0.005306127903996205,0.01357188425526442,-0.02207891517571466,0.010744972027876604,0.008299919097737899,False
monthly,whole,hgb|history_unavailable|budget=01,hgb,history_unavailable,1,B,hgb::B,False,1,0.6764592159223477,1520,594,0.3907894736842105,0.6718895605170169,0.23953759890943263,0.5449354960694054,0.4144469782827227,-0.29366835455137696,0.5671446208877378,23,0.018878012159260625,-0.0004964600315153778,0.018381552127745247,-0.006929038521113637,0.006173599811780555,0.003338895623302512,-0.005802587935511583,0.013075424223749042,-0.021196415392610846,0.009791980433872825,0.007978501915022005,False
monthly,whole,hgb|history_unavailable|budget=04,hgb,history_unavailable,4,D,hgb::D,False,4,0.6582713689763009,1520,594,0.3907894736842105,0.6790279001503994,0.2423718553464324,0.5710043196544277,0.43891036766366714,-0.337259028145329,0.42362809523667216,23,0.018878012159260625,0.00664187960185969,0.025519891761120315,-0.006963282320063216,0.02049146331793738,0.007038988619472611,0.0013357516978634854,0.02021376385712411,-0.010701937838786327,0.013784505310424766,0.006138463548514181,False
monthly,whole,hgb|history_unavailable|budget=11,hgb,history_unavailable,11,D_B_M_A,hgb::D_B_M_A,False,7,0.642368337931568,1520,594,0.3907894736842105,0.7073885644245267,0.2555322489541738,0.5576072096050497,0.40523771678568876,-0.4087184894160896,0.2571852829940086,23,0.018878012159260625,0.03500254387598545,0.05388055603524607,0.01763577576731003,0.05322732773699993,0.009162904570042743,0.029696415971989243,0.04857442813124987,0.01767958481343853,0.04252044129294232,0.00624729176505389,False
monthly,whole,hgb|history_unavailable|budget=30,hgb,history_unavailable,30,D_B_P_A_K,hgb::D_B_P_A_K,False,28,0.6336998056962528,1520,594,0.3907894736842105,0.6790238938897681,0.2415135921282839,0.5873521027408717,0.4815995333352799,-0.3365338235388886,0.447675974280058,23,0.018878012159260625,0.006637873341226563,0.02551588550048719,-0.009900066410603672,0.023548932718615023,0.008546951729943917,0.0013317454372303583,0.020209757596490983,-0.0015998232141567425,0.004326705455898409,0.0015128793883376341,False
monthly,disjoint,ridge|history_available|budget=00,ridge,history_available,0,H,ridge::H,True,0,0.669891877603961,879,326,0.3708759954493743,0.6598574796974137,0.2338253268022983,0.5675290384850065,0.4063509668317139,-0.3189953142933277,0.8990385660269158,20,0.023084879858191822,-0.00022423388296111124,0.02286064597523071,-0.0004898252225802619,4.452471360527051e-05,0.0001338478104287813,-0.028189182105014865,-0.005104302246823043,-0.05062277798792102,-0.007077869356067861,0.011094989669574186,False
monthly,disjoint,ridge|history_available|budget=01,ridge,history_available,1,H_A,ridge::H_A,True,1,0.6653264522853897,879,326,0.3708759954493743,0.689135985255973,0.24824184802738192,0.5345383241438224,0.3864108094052714,-0.4891045283368856,0.28996746186050665,20,0.023084879858191822,0.02905427167560226,0.05213915153379409,0.019444964014863696,0.037990580966085596,0.004774917165505756,0.0010893234535485075,0.02417420331174033,-0.018276095747102428,0.019683338388607946,0.009693684218127266,False
monthly,disjoint,ridge|history_available|budget=04,ridge,history_available,4,H_D,ridge::H_D,True,4,0.6444425682898658,879,326,0.3708759954493743,0.6652054262799436,0.23704692433349997,0.5830162304884678,0.4197912221404238,-0.3911869935558086,0.5415688849090355,20,0.023084879858191822,0.005123712699573346,0.02820859255776517,-0.00881579429326258,0.019771549028813763,0.007201458633962476,-0.022841235522480408,0.00024364433571141472,-0.03633292018100859,-0.00875063863750447,0.0070555879138694865,False
monthly,disjoint,ridge|history_available|budget=11,ridge,history_available,11,H_D_B_A,ridge::H_D_B_A,True,6,0.6388268554551306,879,326,0.3708759954493743,0.6976838906561225,0.2519205967732098,0.5591863677209643,0.38243169982506214,-0.47781359301878695,0.3166548148877339,20,0.023084879858191822,0.03760217707575175,0.06068705693394358,0.018520448529818136,0.05718650436131235,0.009871223224753312,0.009637228853697999,0.032722108711889825,-0.0007571875702120839,0.01935497033185348,0.005170574226625243,False
