target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
regular,ridge,H,0.001,0.4855810744027463,0.4855810744027463,0.0012481674588340802
regular,ridge,H,0.01,0.48355918053918057,0.4835591805391807,0.0027355864576225093
regular,ridge,H,0.1,0.4837948464263616,0.4837948464263616,0.004183443342701948
regular,ridge,H,1.0,0.48393782610952585,0.48393782610952574,0.004446394643988902
regular,ridge,H,10.0,0.4839554107344087,0.48395541073440873,0.0044744871938483125
regular,ridge,H_D,0.001,0.48380242777702587,0.4838024277770259,0.0012566056302853175
regular,ridge,H_D,0.01,0.4735704202724145,0.4735704202724144,0.0029109517165301847
regular,ridge,H_D,0.1,0.45928026088134877,0.4592802608813488,0.004274976590702496
regular,ridge,H_D,1.0,0.4535315605074981,0.4535315605074981,0.005607592874484785
regular,ridge,H_D,10.0,0.45512668248985483,0.4551266824898549,0.006862641529682557
regular,ridge,H_B,0.001,0.48317487246972296,0.48317487246972296,0.0014187696135214297
regular,ridge,H_B,0.01,0.47735957271398116,0.4773595727139811,0.0034199320341994463
regular,ridge,H_B,0.1,0.4771882951878859,0.4771882951878859,0.0049466871519345005
regular,ridge,H_B,1.0,0.4773797203495449,0.4773797203495449,0.005201206093502759
regular,ridge,H_B,10.0,0.4774035453384147,0.4774035453384148,0.005228394705373809
regular,ridge,H_D_B,0.001,0.48144752813233055,0.4814475281323304,0.0013922915867896723
regular,ridge,H_D_B,0.01,0.46814841115803385,0.4681484111580338,0.0031356490620297784
regular,ridge,H_D_B,0.1,0.4551855524621978,0.4551855524621978,0.003527831902812882
regular,ridge,H_D_B,1.0,0.4506049781553576,0.45060497815535755,0.003409596324214944
regular,ridge,H_D_B,10.0,0.4521896405285007,0.45218964052850075,0.004573931539914583
regular,ridge,H_M,0.001,0.4847674461002981,0.4847674461002981,0.0010621963261275352
regular,ridge,H_M,0.01,0.48154465883144476,0.48154465883144476,0.00227675050260876
regular,ridge,H_M,0.1,0.4816876585011106,0.48168765850111067,0.0036206921626656644
regular,ridge,H_M,1.0,0.4818496253023639,0.4818496253023639,0.0038581468803558076
regular,ridge,H_M,10.0,0.4818689579613988,0.4818689579613988,0.0038837496486015927
regular,ridge,H_D_M,0.001,0.48301570188017906,0.483015701880179,0.0010853151214433433
regular,ridge,H_D_M,0.01,0.472119028316856,0.472119028316856,0.0026489036378519095
regular,ridge,H_D_M,0.1,0.45916758923622597,0.4591675892362259,0.004179393440859874
regular,ridge,H_D_M,1.0,0.45374331860406825,0.45374331860406836,0.005744137012459295
regular,ridge,H_D_M,10.0,0.45539207793126496,0.4553920779312649,0.006990169790761355
regular,ridge,H_B_M,0.001,0.4824301426338251,0.4824301426338252,0.001214769556713159
regular,ridge,H_B_M,0.01,0.47589368334180804,0.47589368334180804,0.0026646515338731402
regular,ridge,H_B_M,0.1,0.475812832063398,0.475812832063398,0.0038363690471940135
regular,ridge,H_B_M,1.0,0.47603186575660195,0.47603186575660195,0.0040373720442651514
regular,ridge,H_B_M,10.0,0.47605515511946156,0.47605515511946156,0.004057520211708714
regular,ridge,H_D_B_M,0.001,0.4807280626822925,0.48072806268229257,0.001197341053200377
regular,ridge,H_D_B_M,0.01,0.46715537237604865,0.46715537237604854,0.002530696285683472
regular,ridge,H_D_B_M,0.1,0.45532101844588957,0.4553210184458895,0.0029629399704641907
regular,ridge,H_D_B_M,1.0,0.4510374142248564,0.45103741422485644,0.0034001145980072363
regular,ridge,H_D_B_M,10.0,0.45264456133326325,0.45264456133326336,0.004653942685061297
regular,ridge,H_P,0.001,0.48536564179345953,0.48536564179345953,0.00132366665455085
regular,ridge,H_P,0.01,0.48302897169975906,0.48302897169975906,0.003135992931354708
regular,ridge,H_P,0.1,0.48331701866518456,0.4833170186651846,0.004797699410790133
