policy_id,evaluation_domain,log_loss,roc_auc,average_precision,brier,calibration_intercept,calibration_slope
ridge|history_available|budget=00,all,0.0,0.0,0.0,0.0,0.0,0.0
ridge|history_available|budget=00,development_disjoint_id,0.0,0.0,0.0,0.0,-8.326672684688674e-17,0.0
ridge|history_available|budget=01,all,0.0,0.0,0.0,2.7755575615628914e-17,-4.163336342344337e-17,0.0
ridge|history_available|budget=01,development_disjoint_id,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0
ridge|history_available|budget=04,all,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0
ridge|history_available|budget=04,development_disjoint_id,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0
ridge|history_available|budget=11,all,0.0,0.0,0.0,2.7755575615628914e-17,6.938893903907228e-17,0.0
ridge|history_available|budget=11,development_disjoint_id,0.0,0.0,0.0,0.0,6.938893903907228e-17,5.551115123125783e-17
ridge|history_available|budget=30,all,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0
ridge|history_available|budget=30,development_disjoint_id,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17
ridge|history_unavailable|budget=00,all,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0
ridge|history_unavailable|budget=00,development_disjoint_id,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0
ridge|history_unavailable|budget=01,all,0.0,0.0,0.0,2.7755575615628914e-17,-5.898059818321144e-17,0.0
ridge|history_unavailable|budget=01,development_disjoint_id,0.0,0.0,0.0,2.7755575615628914e-17,-2.7755575615628914e-17,1.1102230246251565e-16
ridge|history_unavailable|budget=04,all,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
ridge|history_unavailable|budget=04,development_disjoint_id,0.0,0.0,0.0,5.551115123125783e-17,0.0,-6.938893903907228e-17
ridge|history_unavailable|budget=11,all,0.0,0.0,0.0,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17
ridge|history_unavailable|budget=11,development_disjoint_id,0.0,0.0,0.0,0.0,5.551115123125783e-17,8.500145032286355e-17
ridge|history_unavailable|budget=30,all,0.0,0.0,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17
ridge|history_unavailable|budget=30,development_disjoint_id,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0
hgb|history_available|budget=00,all,0.0,0.0,0.0,0.0,0.0,0.0
hgb|history_available|budget=00,development_disjoint_id,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0
hgb|history_available|budget=01,all,0.0,0.0,0.0,8.326672684688674e-17,-5.551115123125783e-17,0.0
hgb|history_available|budget=01,development_disjoint_id,0.0,0.0,0.0,5.551115123125783e-17,-5.551115123125783e-17,0.0
hgb|history_available|budget=04,all,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0
hgb|history_available|budget=04,development_disjoint_id,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0
hgb|history_available|budget=11,all,0.0,0.0,0.0,0.0,4.163336342344337e-17,5.551115123125783e-17
hgb|history_available|budget=11,development_disjoint_id,0.0,0.0,0.0,5.551115123125783e-17,4.163336342344337e-17,5.551115123125783e-17
hgb|history_available|budget=30,all,0.0,0.0,0.0,8.326672684688674e-17,8.326672684688674e-17,0.0
hgb|history_available|budget=30,development_disjoint_id,0.0,0.0,0.0,5.551115123125783e-17,6.938893903907228e-17,5.551115123125783e-17
hgb|history_unavailable|budget=00,all,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0
hgb|history_unavailable|budget=00,development_disjoint_id,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0
hgb|history_unavailable|budget=01,all,0.0,0.0,0.0,5.551115123125783e-17,4.163336342344337e-17,0.0
hgb|history_unavailable|budget=01,development_disjoint_id,0.0,0.0,0.0,2.7755575615628914e-17,-6.591949208711867e-17,0.0
hgb|history_unavailable|budget=04,all,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17
hgb|history_unavailable|budget=04,development_disjoint_id,0.0,0.0,0.0,5.551115123125783e-17,0.0,-1.3877787807814457e-17
hgb|history_unavailable|budget=11,all,0.0,0.0,0.0,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17
hgb|history_unavailable|budget=11,development_disjoint_id,0.0,0.0,0.0,0.0,8.326672684688674e-17,-4.163336342344337e-17
hgb|history_unavailable|budget=30,all,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
hgb|history_unavailable|budget=30,development_disjoint_id,0.0,0.0,0.0,5.551115123125783e-17,0.0,-8.326672684688674e-17
