sample,sample_label,outcome_year,frequency_code,frequency_label,n,count,percent
development,개발표본,2024,1,1) 거의 매일,1565,55,3.5143769968051117
development,개발표본,2024,2,2) 일주일에 한두 번,1565,243,15.527156549520766
development,개발표본,2024,3,3) 1개월에 한두 번,1565,376,24.02555910543131
development,개발표본,2024,4,4) 6개월에 한두 번,1565,206,13.1629392971246
development,개발표본,2024,5,5) 최근 1년간 이용 한적 없음,1565,440,28.115015974440894
development,개발표본,2024,9,9) 전혀 이용한 적 없음,1565,245,15.654952076677317
evaluation_full,전체 평가표본,2025,1,1) 거의 매일,1520,46,3.026315789473684
evaluation_full,전체 평가표본,2025,2,2) 일주일에 한두 번,1520,246,16.18421052631579
evaluation_full,전체 평가표본,2025,3,3) 1개월에 한두 번,1520,302,19.86842105263158
evaluation_full,전체 평가표본,2025,4,4) 6개월에 한두 번,1520,259,17.039473684210527
evaluation_full,전체 평가표본,2025,5,5) 최근 1년간 이용 한적 없음,1520,412,27.105263157894736
evaluation_full,전체 평가표본,2025,9,9) 전혀 이용한 적 없음,1520,255,16.776315789473685
evaluation_disjoint,참여자 비중복 평가표본,2025,1,1) 거의 매일,879,28,3.185437997724687
evaluation_disjoint,참여자 비중복 평가표본,2025,2,2) 일주일에 한두 번,879,143,16.26848691695108
evaluation_disjoint,참여자 비중복 평가표본,2025,3,3) 1개월에 한두 번,879,155,17.633674630261662
evaluation_disjoint,참여자 비중복 평가표본,2025,4,4) 6개월에 한두 번,879,145,16.496018202502846
evaluation_disjoint,참여자 비중복 평가표본,2025,5,5) 최근 1년간 이용 한적 없음,879,269,30.602957906712174
evaluation_disjoint,참여자 비중복 평가표본,2025,9,9) 전혀 이용한 적 없음,879,139,15.813424345847555
